index,County,Precinct,Registered Voters,Dean Burke (I) (Rep)_Election Day Votes,Dean Burke (I) (Rep)_Advanced Voting Votes,Dean Burke (I) (Rep)_Absentee by Mail Votes,Dean Burke (I) (Rep)_Provisional Votes,Dean Burke (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,153,434,210,0,797,797,
1,Colquitt,Moultrie,4809,455,1409,442,0,2306,2306,
2,Colquitt,Autreyville,1512,286,438,86,2,812,812,
3,Colquitt,Bridgecreek,1191,276,452,90,2,820,820,
4,Colquitt,Crosland,289,87,37,20,0,144,144,
5,Colquitt,Doerun,619,182,128,32,0,342,342,
6,Colquitt,Funston,1030,296,281,71,3,651,651,
7,Colquitt,Hamilton,784,269,202,51,0,522,522,
8,Colquitt,Hartsfield,408,174,87,43,1,305,305,
9,Colquitt,Hopewell,1670,285,631,127,3,1046,1046,
10,Colquitt,Lee,1094,227,294,80,0,601,601,
11,Colquitt,Millcreek,422,112,138,42,0,292,292,
12,Colquitt,Monk,1555,356,474,110,0,940,940,
13,Colquitt,Murphy,973,192,441,64,0,697,697,
14,Colquitt,Norman Park,2586,452,736,193,0,1381,1381,
15,Colquitt,Robinson,860,239,212,55,0,506,506,
16,Colquitt,Thigpen,251,101,44,18,0,163,163,
17,Colquitt,Tyty,543,226,79,34,0,339,339,
18,Colquitt,Warrior,971,283,260,67,0,610,610,
