County,Precinct,Registered Voters,Lee Knight (I) (Rep)_Election Day Votes,Lee Knight (I) (Rep)_Advanced Voting Votes,Lee Knight (I) (Rep)_Absentee by Mail Votes,Lee Knight (I) (Rep)_Provisional Votes,Lee Knight (I) (Rep)_Choice Total,Total,
Union,Blairsville,2435,263,1005,411,3,1682,1682,
Union,Coosa,2294,388,997,302,0,1687,1687,
Union,Choestoe,1377,286,540,185,1,1012,1012,
Union,Jones Creek,1945,397,766,292,2,1457,1457,
Union,Owltown,1517,246,599,233,0,1078,1078,
Union,Ivy Log,2008,381,816,329,0,1526,1526,
Union,Suches,611,237,88,77,0,402,402,
Union,Trackrock,1110,195,430,164,0,789,789,
Union,Dooley,1531,347,525,216,1,1089,1089,
Union,Gumlog,2143,377,849,325,1,1552,1552,
Union,Pat Colwell,2230,325,996,338,2,1661,1661,
