County,Precinct,Registered Voters,Benny Erwin (I) (Rep)_Election Day Votes,Benny Erwin (I) (Rep)_Advanced Voting Votes,Benny Erwin (I) (Rep)_Absentee by Mail Votes,Benny Erwin (I) (Rep)_Provisional Votes,Benny Erwin (I) (Rep)_Choice Total,Total,
Union,Blairsville,2435,265,1000,398,3,1666,1666,
Union,Coosa,2294,399,986,295,0,1680,1680,
Union,Choestoe,1377,280,539,187,1,1007,1007,
Union,Jones Creek,1945,409,763,293,2,1467,1467,
Union,Owltown,1517,250,584,231,0,1065,1065,
Union,Ivy Log,2008,375,819,322,0,1516,1516,
Union,Suches,611,235,88,70,0,393,393,
Union,Trackrock,1110,198,428,162,0,788,788,
Union,Dooley,1531,348,523,213,1,1085,1085,
Union,Gumlog,2143,382,835,325,1,1543,1543,
Union,Pat Colwell,2230,329,994,335,2,1660,1660,
