County,Precinct,Registered Voters,Mack Mason (I) (Rep)_Election Day Votes,Mack Mason (I) (Rep)_Advanced Voting Votes,Mack Mason (I) (Rep)_Absentee by Mail Votes,Mack Mason (I) (Rep)_Provisional Votes,Mack Mason (I) (Rep)_Choice Total,Total,
Union,Blairsville,2435,252,992,415,3,1662,1662,
Union,Coosa,2294,372,981,291,0,1644,1644,
Union,Choestoe,1377,274,535,186,1,996,996,
Union,Jones Creek,1945,397,755,288,2,1442,1442,
Union,Owltown,1517,240,591,229,0,1060,1060,
Union,Ivy Log,2008,377,806,335,0,1518,1518,
Union,Suches,611,227,89,74,0,390,390,
Union,Trackrock,1110,195,421,168,0,784,784,
Union,Dooley,1531,342,517,216,1,1076,1076,
Union,Gumlog,2143,379,833,321,1,1534,1534,
Union,Pat Colwell,2230,322,987,335,2,1646,1646,
