County,Precinct,Registered Voters,"Gary Harvin, Jr. (Rep)_Election Day Votes","Gary Harvin, Jr. (Rep)_Advanced Voting Votes","Gary Harvin, Jr. (Rep)_Absentee by Mail Votes","Gary Harvin, Jr. (Rep)_Provisional Votes","Gary Harvin, Jr. (Rep)_Choice Total",Total,
Madison,Colbert,3342,542,1121,324,1,1988,1988,
Madison,Collins,647,193,180,53,0,426,426,
Madison,Comer,1441,295,421,125,0,841,841,
Madison,Danielsville,3003,320,1252,337,0,1909,1909,
Madison,Fork,566,177,100,45,0,322,322,
Madison,Harrison,610,238,155,58,0,451,451,
Madison,Hull,4376,671,1286,493,0,2450,2450,
Madison,Ila,1746,319,555,198,0,1072,1072,
Madison,Mill,1646,335,609,168,1,1113,1113,
Madison,Paoli,267,104,68,27,0,199,199,
Madison,Pittman,1949,407,606,254,0,1267,1267,
Madison,Poca,1127,296,318,115,0,729,729,
