County,Precinct,Registered Voters,J. Michael Moore (I) (Rep)_Election Day Votes,J. Michael Moore (I) (Rep)_Advanced Voting Votes,J. Michael Moore (I) (Rep)_Absentee by Mail Votes,J. Michael Moore (I) (Rep)_Provisional Votes,J. Michael Moore (I) (Rep)_Choice Total,Total,
Madison,Colbert,3342,555,1159,341,1,2056,2056,
Madison,Collins,647,197,182,54,0,433,433,
Madison,Comer,1441,298,429,136,0,863,863,
Madison,Danielsville,3003,329,1291,352,0,1972,1972,
Madison,Fork,566,182,106,45,0,333,333,
Madison,Harrison,610,243,157,57,0,457,457,
Madison,Hull,4376,681,1310,512,1,2504,2504,
Madison,Ila,1746,329,566,203,0,1098,1098,
Madison,Mill,1646,346,624,165,1,1136,1136,
Madison,Paoli,267,108,67,28,0,203,203,
Madison,Pittman,1949,415,621,260,0,1296,1296,
Madison,Poca,1127,297,326,123,0,746,746,
