County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Madison,Colbert,3342,452,982,223,0,1657,144,321,215,0,680,20,13,17,0,50,2387,
Madison,Collins,647,191,161,44,0,396,13,23,19,0,55,4,7,0,0,11,462,
Madison,Comer,1441,235,372,88,0,695,91,127,140,0,358,10,6,10,0,26,1079,
Madison,Danielsville,3003,281,1189,269,0,1739,49,171,132,0,352,20,18,11,0,49,2140,
Madison,Fork,566,159,78,21,0,258,31,58,43,0,132,6,4,2,0,12,402,
Madison,Harrison,610,236,146,57,0,439,8,19,6,0,33,3,4,2,0,9,481,
Madison,Hull,4376,531,1062,351,1,1945,209,446,286,1,942,30,30,16,0,76,2963,
Madison,Ila,1746,293,529,146,0,968,40,54,64,0,158,11,19,12,0,42,1168,
Madison,Mill,1646,320,596,132,1,1049,36,69,64,0,169,8,6,6,0,20,1238,
Madison,Paoli,267,104,65,22,0,191,9,8,10,0,27,0,0,1,0,1,219,
Madison,Pittman,1949,359,555,208,0,1122,66,115,103,0,284,14,10,8,0,32,1438,
Madison,Poca,1127,275,304,98,0,677,25,44,44,0,113,14,10,7,0,31,821,
