County,Precinct,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Madison,Colbert,3342,541,1116,309,1,1967,1967,
Madison,Collins,647,198,175,55,0,428,428,
Madison,Comer,1441,287,421,128,0,836,836,
Madison,Danielsville,3003,317,1257,340,0,1914,1914,
Madison,Fork,566,183,96,42,0,321,321,
Madison,Harrison,610,241,155,55,0,451,451,
Madison,Hull,4376,673,1288,501,1,2463,2463,
Madison,Ila,1746,320,567,193,0,1080,1080,
Madison,Mill,1646,337,612,163,1,1113,1113,
Madison,Paoli,267,103,68,27,0,198,198,
Madison,Pittman,1949,407,602,261,0,1270,1270,
Madison,Poca,1127,299,324,115,0,738,738,
