County,Precinct,Registered Voters,Roger E. Collins (I) (Rep)_Election Day Votes,Roger E. Collins (I) (Rep)_Advanced Voting Votes,Roger E. Collins (I) (Rep)_Absentee by Mail Votes,Roger E. Collins (I) (Rep)_Provisional Votes,Roger E. Collins (I) (Rep)_Choice Total,Total,
Ware,100,4740,238,801,673,0,1712,1712,
Ware,200A,2730,244,907,244,0,1395,1395,
Ware,200B,976,65,204,102,0,371,371,
Ware,300,4061,425,1569,494,0,2488,2488,
Ware,304,1269,195,435,85,0,715,715,
Ware,400,3538,416,1541,379,0,2336,2336,
Ware,404,373,158,72,36,0,266,266,
Ware,405,636,206,195,51,0,452,452,
Ware,406,1659,301,694,122,0,1117,1117,
Ware,407,505,204,115,30,0,349,349,
Ware,408,523,208,124,26,0,358,358,
Ware,409,984,225,357,76,0,658,658,
