County,Precinct,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
Bryan,Pembroke,2653,293,846,160,0,1299,1299,
Bryan,Danielsiding,2291,266,926,218,0,1410,1410,
Bryan,Ellabell,2341,407,854,152,1,1414,1414,
Bryan,Black Creek,2995,394,984,190,1,1569,1569,
Bryan,Ways Station,1974,212,589,137,1,939,939,
Bryan,RH Rec Complex,3264,282,1050,246,1,1579,1579,
Bryan,JF Gregory Park,2885,179,1462,278,0,1919,1919,
Bryan,Keller,4270,373,2020,332,0,2725,2725,
Bryan,Hwy 144 East,5365,403,2291,504,0,3198,3198,
Bryan,Public Safety Complex,2570,263,808,163,1,1235,1235,
