County,Precinct,Registered Voters,Carter Infinger (I) (Rep)_Election Day Votes,Carter Infinger (I) (Rep)_Advanced Voting Votes,Carter Infinger (I) (Rep)_Absentee by Mail Votes,Carter Infinger (I) (Rep)_Provisional Votes,Carter Infinger (I) (Rep)_Choice Total,Total,
Bryan,Pembroke,2653,288,858,164,0,1310,1310,
Bryan,Danielsiding,2291,264,922,215,0,1401,1401,
Bryan,Ellabell,2341,406,857,155,1,1419,1419,
Bryan,Black Creek,2995,395,983,189,1,1568,1568,
Bryan,Ways Station,1974,218,603,143,1,965,965,
Bryan,RH Rec Complex,3264,290,1065,254,1,1610,1610,
Bryan,JF Gregory Park,2885,178,1445,274,0,1897,1897,
Bryan,Keller,4270,380,2004,359,0,2743,2743,
Bryan,Hwy 144 East,5365,394,2325,516,1,3236,3236,
Bryan,Public Safety Complex,2570,263,809,171,1,1244,1244,
