County,Precinct,Registered Voters,"Billy D. Reynolds, Sr. (Rep)_Election Day Votes","Billy D. Reynolds, Sr. (Rep)_Advanced Voting Votes","Billy D. Reynolds, Sr. (Rep)_Absentee by Mail Votes","Billy D. Reynolds, Sr. (Rep)_Provisional Votes","Billy D. Reynolds, Sr. (Rep)_Choice Total",Total,
Bryan,Pembroke,2653,291,870,163,0,1324,1324,
Bryan,Danielsiding,2291,267,942,222,0,1431,1431,
Bryan,Ellabell,2341,406,873,159,1,1439,1439,
Bryan,Black Creek,2995,397,1000,194,1,1592,1592,
Bryan,Ways Station,1974,221,607,149,1,978,978,
Bryan,RH Rec Complex,3264,288,1067,256,1,1612,1612,
Bryan,JF Gregory Park,2885,177,1481,279,0,1937,1937,
Bryan,Keller,4270,380,2008,345,0,2733,2733,
Bryan,Hwy 144 East,5365,397,2322,520,1,3240,3240,
Bryan,Public Safety Complex,2570,269,807,176,1,1253,1253,
