County,Precinct,Registered Voters,Joseph J. Davis (I)_Election Day Votes,Joseph J. Davis (I)_Advanced Voting Votes,Joseph J. Davis (I)_Absentee by Mail Votes,Joseph J. Davis (I)_Provisional Votes,Joseph J. Davis (I)_Choice Total,Total,
Effingham,1A,1965,422,686,151,1,1260,1260,
Effingham,1B,3005,655,944,241,1,1841,1841,
Effingham,1C,1446,459,321,101,0,881,881,
Effingham,1D,2031,557,570,140,0,1267,1267,
Effingham,2A,3038,671,1027,273,1,1972,1972,
Effingham,2B,3010,577,877,271,1,1726,1726,
Effingham,2C,4621,738,1640,450,3,2831,2831,
Effingham,3A,1398,336,437,112,0,885,885,
Effingham,3B,1553,333,452,122,0,907,907,
Effingham,3C,2060,335,759,145,1,1240,1240,
Effingham,3D,3125,536,1122,222,3,1883,1883,
Effingham,4A,3726,522,1355,294,2,2173,2173,
Effingham,4B,1888,262,590,165,0,1017,1017,
Effingham,4C,2837,459,984,230,0,1673,1673,
Effingham,5A,2924,481,1010,228,2,1721,1721,
Effingham,5B,3962,596,1265,317,1,2179,2179,
Effingham,5C,1684,278,569,159,2,1008,1008,
