County,Precinct,Registered Voters,Linda McDaniel (I) (Rep)_Election Day Votes,Linda McDaniel (I) (Rep)_Advanced Voting Votes,Linda McDaniel (I) (Rep)_Absentee by Mail Votes,Linda McDaniel (I) (Rep)_Provisional Votes,Linda McDaniel (I) (Rep)_Choice Total,Total,
Effingham,1A,1965,431,722,151,1,1305,1305,
Effingham,1B,3005,682,1007,244,1,1934,1934,
Effingham,1C,1446,471,330,97,0,898,898,
Effingham,1D,2031,584,599,138,1,1322,1322,
Effingham,2A,3038,694,1049,282,1,2026,2026,
Effingham,2B,3010,597,906,269,1,1773,1773,
Effingham,2C,4621,753,1696,434,4,2887,2887,
Effingham,3A,1398,355,466,109,0,930,930,
Effingham,3B,1553,345,471,126,0,942,942,
Effingham,3C,2060,341,788,145,1,1275,1275,
Effingham,3D,3125,553,1164,222,3,1942,1942,
Effingham,4A,3726,540,1435,306,2,2283,2283,
Effingham,4B,1888,271,612,161,0,1044,1044,
Effingham,4C,2837,472,1044,248,0,1764,1764,
Effingham,5A,2924,495,1040,228,2,1765,1765,
Effingham,5B,3962,610,1291,320,1,2222,2222,
Effingham,5C,1684,294,596,157,1,1048,1048,
