County,Precinct,Registered Voters,Lee A. Dixon (Rep)_Election Day Votes,Lee A. Dixon (Rep)_Advanced Voting Votes,Lee A. Dixon (Rep)_Absentee by Mail Votes,Lee A. Dixon (Rep)_Provisional Votes,Lee A. Dixon (Rep)_Choice Total,Total,
Laurens,FBC-FLC,4180,451,1443,626,1,2521,2521,
Laurens,Calhoun Park,6053,515,918,601,0,2034,2034,
Laurens,Fire Dept Sta 5,3672,608,1403,462,0,2473,2473,
Laurens,Buckeye,1047,250,170,100,1,521,521,
Laurens,Burch,422,176,51,53,0,280,280,
Laurens,Cadwell,749,307,140,55,1,503,503,
Laurens,Brewton,1739,497,383,135,1,1016,1016,
Laurens,Dudley,1121,373,341,132,0,846,846,
Laurens,Hampton Mill,1772,689,396,177,0,1262,1262,
Laurens,Harvard,406,127,55,28,0,210,210,
Laurens,Minter,937,362,188,95,1,646,646,
Laurens,Rural Fire Sta 17,2344,539,593,230,0,1362,1362,
Laurens,W T Adams Fire Sta 18,2090,456,736,270,0,1462,1462,
Laurens,Reedy Springs,894,411,156,58,0,625,625,
Laurens,Smith,3374,545,662,293,0,1500,1500,
Laurens,LCFS 10 Valambrosia,2080,366,526,222,0,1114,1114,
