County,Precinct,Registered Voters,Gloria S. Butler (I) (Dem)_Election Day Votes,Gloria S. Butler (I) (Dem)_Advanced Voting Votes,Gloria S. Butler (I) (Dem)_Absentee by Mail Votes,Gloria S. Butler (I) (Dem)_Provisional Votes,Gloria S. Butler (I) (Dem)_Choice Total,Total,
DeKalb,Austin Drive,2536,206,634,438,10,1288,1288,
DeKalb,Crossroads,2898,246,867,626,3,1742,1742,
DeKalb,Glenhaven,1880,220,482,316,2,1020,1020,
DeKalb,Glenwood Road,2293,198,542,395,3,1138,1138,
DeKalb,Miller-Eldridge L Miller Elem 3455,306,944,699,3,1952,1952,,
DeKalb,Marbut Elem,4234,321,1405,621,14,2361,2361,
DeKalb,Miller Grove,4747,1,7,2,2,12,12,
DeKalb,Princeton Elem,2376,162,844,443,1,1450,1450,
DeKalb,Panola,1586,136,472,320,2,930,930,
DeKalb,Panola Way Elem,2252,201,579,314,17,1111,1111,
DeKalb,Panola Road,2884,18,133,80,0,231,231,
DeKalb,Redan Elem,3020,202,1141,586,5,1934,1934,
DeKalb,Rock Chapel Elem,2910,214,1109,514,5,1842,1842,
DeKalb,Redan-Trotti Library,3990,270,1270,737,16,2293,2293,
DeKalb,Rockbridge Road,3965,299,1469,957,8,2733,2733,
DeKalb,Redan Road,2932,228,900,501,10,1639,1639,
DeKalb,Redan Middle,2496,153,862,511,3,1529,1529,
DeKalb,Shadow Rock Elem,4347,288,1559,1021,8,2876,2876,
DeKalb,South Deshon,3470,257,1262,625,8,2152,2152,
DeKalb,Stephenson Middle,3822,296,1397,776,0,2469,2469,
DeKalb,Stephenson High,3555,254,1193,800,6,2253,2253,
DeKalb,Woodridge Elem,3851,320,1022,735,9,2086,2086,
DeKalb,White Oak,2951,307,721,424,2,1454,1454,
DeKalb,Young Road,1951,104,765,425,4,1298,1298,
