County,Precinct,Registered Voters,Viola Davis (I) (Dem)_Election Day Votes,Viola Davis (I) (Dem)_Advanced Voting Votes,Viola Davis (I) (Dem)_Absentee by Mail Votes,Viola Davis (I) (Dem)_Provisional Votes,Viola Davis (I) (Dem)_Choice Total,Total,
DeKalb,Brockett Elem,2752,169,848,581,5,1603,1603,
DeKalb,Brockett,2681,229,773,534,4,1540,1540,
DeKalb,Clarkston,3878,23,61,12,1,97,97,
DeKalb,Crossroads,2898,201,774,580,2,1557,1557,
DeKalb,Evansdale Elem,3441,29,177,144,0,350,350,
DeKalb,Freedom Middle,3227,298,876,560,9,1743,1743,
DeKalb,Hambrick Elem,3776,307,1113,645,8,2073,2073,
DeKalb,Idlewood Elem,2472,226,758,428,7,1419,1419,
DeKalb,Midvale Elem,2747,36,182,155,0,373,373,
DeKalb,Miller Grove,4747,1,7,2,2,12,12,
DeKalb,Montreal,2586,30,88,62,1,181,181,
DeKalb,Midvale Road,1832,150,643,330,0,1123,1123,
DeKalb,North Hairston,2329,232,646,415,5,1298,1298,
DeKalb,Pine Lake,632,244,135,73,0,452,452,
DeKalb,Panola Way Elem,2252,205,592,318,17,1132,1132,
DeKalb,Rockbridge Elem,3595,318,950,511,9,1788,1788,
DeKalb,Redan Middle,2496,65,413,240,2,720,720,
DeKalb,Stone Mtn Middle,3247,31,122,76,2,231,231,
DeKalb,South Hairston,3814,359,1100,646,9,2114,2114,
DeKalb,Tucker,2932,61,611,463,2,1137,1137,
DeKalb,Woodridge Elem,3851,329,1040,751,9,2129,2129,
DeKalb,White Oak,2951,314,729,428,3,1474,1474,
DeKalb,Young Road,1951,107,770,431,4,1312,1312,
