index,County,Precinct,Registered Voters,Billy Mitchell (I) (Dem)_Election Day Votes,Billy Mitchell (I) (Dem)_Advanced Voting Votes,Billy Mitchell (I) (Dem)_Absentee by Mail Votes,Billy Mitchell (I) (Dem)_Provisional Votes,Billy Mitchell (I) (Dem)_Choice Total,Total,
0,DeKalb,Crossroads,2898,49,111,52,0,212,212,
1,DeKalb,Embry Hills,1721,37,165,191,0,393,393,
2,DeKalb,Hugh Howell,1773,152,563,355,0,1070,1070,
3,DeKalb,Miller-Eldridge L Miller Elem 3455,305,950,705,4,1964,1964,,
4,DeKalb,Pleasantdale Road,4538,414,1057,466,4,1941,1941,
5,DeKalb,Panola,1586,136,472,325,0,933,933,
6,DeKalb,Rockbridge Elem,3595,3,6,3,1,13,13,
7,DeKalb,Redan Middle,2496,89,455,277,0,821,821,
8,DeKalb,Stone Mountain Elem,2338,157,520,583,3,1263,1263,
9,DeKalb,Smoke Rise,2108,143,663,504,1,1311,1311,
10,DeKalb,Stone Mtn Middle,3247,260,496,250,8,1014,1014,
11,DeKalb,Stone Mill Elem,3714,342,684,443,5,1474,1474,
12,DeKalb,Shadow Rock Elem,4347,291,1571,1012,4,2878,2878,
13,DeKalb,Stone Mtn Champion,3098,307,782,463,4,1556,1556,
14,DeKalb,Stone Mtn,1711,182,366,311,1,860,860,
15,DeKalb,Stephenson High,3555,261,1197,798,5,2261,2261,
16,DeKalb,Tucker Library,3506,139,1209,715,1,2064,2064,
17,DeKalb,Tucker,2932,72,358,137,1,568,568,
