County,Precinct,Registered Voters,"Harold Parker, Jr. (I)_Election Day Votes","Harold Parker, Jr. (I)_Advanced Voting Votes","Harold Parker, Jr. (I)_Absentee by Mail Votes","Harold Parker, Jr. (I)_Provisional Votes","Harold Parker, Jr. (I)_Choice Total",Total,
Screven,Sylvania,0,105,361,181,1,648,648,
Screven,Hunters,0,99,122,54,7,282,282,
Screven,Newington,0,240,264,80,0,584,584,
Screven,Jenk Hill Fire Sta,0,145,335,113,1,594,594,
Screven,Rocky Ford,0,111,158,66,0,335,335,
Screven,Bay Branch,0,192,329,74,1,596,596,
Screven,Hiltonia,0,132,267,71,0,470,470,
Screven,Screven Rec Dept,0,51,101,46,3,201,201,
Screven,Greenhill Church,0,180,259,74,0,513,513,
Screven,Sr Citizens Center,0,136,336,139,0,611,611,
Screven,Jackson Fire Station,0,93,77,40,0,210,210,
Screven,Cooperville Fire Station,0,30,66,37,1,134,134,
