County,Precinct,Registered Voters,Debbie L. Brooks (I) (Rep)_Election Day Votes,Debbie L. Brooks (I) (Rep)_Advanced Voting Votes,Debbie L. Brooks (I) (Rep)_Absentee by Mail Votes,Debbie L. Brooks (I) (Rep)_Provisional Votes,Debbie L. Brooks (I) (Rep)_Choice Total,Total,
Spalding,01,2260,190,170,149,25,534,534,
Spalding,02,1956,156,153,135,12,456,456,
Spalding,03,2774,291,989,383,174,1837,1837,
Spalding,05,3715,309,686,330,113,1438,1438,
Spalding,06,2438,195,290,191,14,690,690,
Spalding,07,1705,370,540,235,18,1163,1163,
Spalding,08,1789,316,555,240,22,1133,1133,
Spalding,09,1950,401,544,222,28,1195,1195,
Spalding,10,1981,343,575,206,17,1141,1141,
Spalding,11,2506,512,708,244,21,1485,1485,
Spalding,12,2163,478,668,259,27,1432,1432,
Spalding,13,2586,613,654,261,43,1571,1571,
Spalding,14,1985,437,345,190,22,994,994,
Spalding,16,4596,355,764,480,34,1633,1633,
Spalding,17,2011,318,454,145,21,938,938,
Spalding,19,2664,456,768,309,21,1554,1554,
Spalding,20,2190,501,626,208,21,1356,1356,
Spalding,21,4716,380,1387,1012,28,2807,2807,
