County,Precinct,Registered Voters,Sylvia W. Hollums (I) (Rep)_Election Day Votes,Sylvia W. Hollums (I) (Rep)_Advanced Voting Votes,Sylvia W. Hollums (I) (Rep)_Absentee by Mail Votes,Sylvia W. Hollums (I) (Rep)_Provisional Votes,Sylvia W. Hollums (I) (Rep)_Choice Total,Total,
Spalding,01,2260,195,180,163,29,567,567,
Spalding,02,1956,167,170,162,16,515,515,
Spalding,03,2774,288,996,394,177,1855,1855,
Spalding,05,3715,315,710,348,117,1490,1490,
Spalding,06,2438,200,306,218,16,740,740,
Spalding,07,1705,368,545,243,18,1174,1174,
Spalding,08,1789,317,563,247,22,1149,1149,
Spalding,09,1950,402,542,228,27,1199,1199,
Spalding,10,1981,346,583,225,17,1171,1171,
Spalding,11,2506,516,728,258,21,1523,1523,
Spalding,12,2163,478,672,260,29,1439,1439,
Spalding,13,2586,611,659,260,47,1577,1577,
Spalding,14,1985,448,355,194,23,1020,1020,
Spalding,16,4596,377,811,538,35,1761,1761,
Spalding,17,2011,320,461,151,21,953,953,
Spalding,19,2664,461,765,319,20,1565,1565,
Spalding,20,2190,506,629,218,22,1375,1375,
Spalding,21,4716,382,1401,1029,29,2841,2841,
