County,Precinct,Registered Voters,Roger Bruce (I) (Dem)_Election Day Votes,Roger Bruce (I) (Dem)_Advanced Voting Votes,Roger Bruce (I) (Dem)_Absentee by Mail Votes,Roger Bruce (I) (Dem)_Provisional Votes,Roger Bruce (I) (Dem)_Choice Total,Total,
Fulton,10A,3186,236,939,520,4,1699,1699,
Fulton,10C,2598,140,680,314,2,1136,1136,
Fulton,11E1,1340,118,387,164,2,671,671,
Fulton,11E3,3605,268,1347,338,2,1955,1955,
Fulton,FC01,325,21,131,26,2,180,180,
Fulton,FC02,585,14,25,8,2,49,49,
Fulton,FC03,17,1,8,0,6,15,15,
Fulton,SC01A,41,2,41,7,0,50,50,
Fulton,SC01B,2088,122,1125,300,10,1557,1557,
Fulton,SC01C,2249,86,1050,449,2,1587,1587,
Fulton,SC14A,1030,68,322,100,0,490,490,
Fulton,SC16A,5175,288,2441,856,0,3585,3585,
Fulton,SC18A,570,42,218,118,0,378,378,
