index,County,Precinct,Registered Voters,Mandisha A. Thomas (Dem)_Election Day Votes,Mandisha A. Thomas (Dem)_Advanced Voting Votes,Mandisha A. Thomas (Dem)_Absentee by Mail Votes,Mandisha A. Thomas (Dem)_Provisional Votes,Mandisha A. Thomas (Dem)_Choice Total,Total,
0,Fulton,CH01,376,13,114,40,4,171,171,
1,Fulton,CH02,338,32,77,42,0,151,151,
2,Fulton,CH03,410,25,95,36,0,156,156,
3,Fulton,CH04A,825,37,279,111,0,427,427,
4,Fulton,CH05,429,27,82,45,0,154,154,
5,Fulton,FA01A,4032,244,1457,626,17,2344,2344,
6,Fulton,FA01B,5860,28,2291,855,8,3182,3182,
7,Fulton,FA01D,321,19,126,8,16,169,169,
8,Fulton,PA01,3006,204,937,366,15,1522,1522,
9,Fulton,SC04,1080,81,348,159,4,592,592,
10,Fulton,SC05A,721,56,323,84,4,467,467,
11,Fulton,SC07A,4506,252,1886,1038,10,3186,3186,
12,Fulton,SC07C,41,1,9,3,0,13,13,
13,Fulton,SC07D,2038,136,864,89,3,1092,1092,
14,Fulton,SC08F,793,43,285,95,0,423,423,
15,Fulton,SC08G,14,0,3,0,0,3,3,
16,Fulton,SC08H,1,0,0,0,0,0,0,
17,Fulton,SC13,2895,168,1358,416,1,1943,1943,
18,Fulton,SC17B,10,0,1,0,3,4,4,
19,Fulton,UC01A,4234,335,1228,349,12,1924,1924,
20,Fulton,UC01D,6,0,0,0,0,0,0,
21,Fulton,UC02A,5609,330,2203,1150,16,3699,3699,
22,Fulton,UC02C,3614,152,1228,127,8,1515,1515,
