County,Precinct,Registered Voters,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_Choice Total,Total,
Fulton,03B,777,52,93,61,0,206,206,
Fulton,03C,1879,134,331,217,6,688,688,
Fulton,03H,1091,89,215,98,0,402,402,
Fulton,03M,965,153,239,80,2,474,474,
Fulton,03S,908,98,201,98,0,397,397,
Fulton,08J,3344,140,1269,435,5,1849,1849,
Fulton,08K,1049,74,380,202,0,656,656,
Fulton,08L,4505,216,1521,786,16,2539,2539,
Fulton,08P,1887,119,641,221,8,989,989,
Fulton,09A,3856,185,1512,576,9,2282,2282,
Fulton,09B,464,28,75,64,0,167,167,
Fulton,09C,3353,251,860,453,23,1587,1587,
Fulton,09D,2299,218,429,284,9,940,940,
Fulton,09E,3261,259,934,310,2,1505,1505,
Fulton,09G,3943,228,1511,620,9,2368,2368,
Fulton,09H,1185,76,407,152,1,636,636,
Fulton,09I,1397,136,252,171,2,561,561,
Fulton,09K,4002,262,843,466,11,1582,1582,
Fulton,09K1,1518,108,311,40,1,460,460,
Fulton,09M,2578,103,1201,345,0,1649,1649,
Fulton,10A,3186,235,946,527,14,1722,1722,
Fulton,10B,3965,234,1480,852,8,2574,2574,
Fulton,10C,2598,139,685,317,13,1154,1154,
Fulton,10D,4968,307,1116,523,138,2084,2084,
Fulton,10E,1084,93,297,183,4,577,577,
Fulton,10F,1208,109,305,198,12,624,624,
Fulton,10G,1332,94,500,234,1,829,829,
Fulton,10H1,439,30,149,77,14,270,270,
Fulton,10H2,2623,165,535,329,6,1035,1035,
Fulton,10I,331,13,154,89,0,256,256,
Fulton,10J,1238,140,181,129,13,463,463,
Fulton,10P,1607,145,330,237,3,715,715,
Fulton,10R,928,94,196,83,10,383,383,
Fulton,11B,4395,326,1309,825,13,2473,2473,
Fulton,11B1,894,70,293,28,3,394,394,
Fulton,11C,3149,158,1339,568,6,2071,2071,
Fulton,11E1,1340,117,387,164,6,674,674,
Fulton,FC01,325,21,129,26,2,178,178,
Fulton,FC02,585,13,25,8,2,48,48,
Fulton,FC03,17,0,8,0,5,13,13,
Fulton,SC01A,41,2,37,7,0,46,46,
Fulton,SC01B,2088,122,1113,295,11,1541,1541,
Fulton,SC01C,2249,80,1048,453,2,1583,1583,
Fulton,SC02,1426,41,719,256,1,1017,1017,
Fulton,SC14A,1030,63,319,98,0,480,480,
Fulton,SC16A,5175,279,2434,864,0,3577,3577,
Fulton,SC30A,157,5,44,57,8,114,114,
Fulton,SC30B,1110,56,353,146,0,555,555,
