County,Precinct,Registered Voters,Steve A. Taylor (I) (Rep)_Election Day Votes,Steve A. Taylor (I) (Rep)_Advanced Voting Votes,Steve A. Taylor (I) (Rep)_Absentee by Mail Votes,Steve A. Taylor (I) (Rep)_Provisional Votes,Steve A. Taylor (I) (Rep)_Choice Total,Total,
Bartow,Adairsville,6995,884,2623,628,1,4136,4136,
Bartow,Allatoona,4729,627,1280,374,0,2281,2281,
Bartow,Cartersville East,6805,722,2073,795,0,3590,3590,
Bartow,Cartersville West,8129,703,3179,1045,1,4928,4928,
Bartow,Cassville,4588,506,1444,773,2,2725,2725,
Bartow,Center,4007,732,1353,481,2,2568,2568,
Bartow,Emerson,3122,624,802,321,1,1748,1748,
Bartow,Euharlee,5322,937,1825,490,1,3253,3253,
Bartow,Folsom,1448,406,360,128,0,894,894,
Bartow,Hamilton Crossing,6598,781,2338,449,1,3569,3569,
Bartow,Kingston,2674,664,694,274,0,1632,1632,
Bartow,Mission Road,4012,488,1393,441,3,2325,2325,
Bartow,Pine Log,2132,657,535,228,0,1420,1420,
Bartow,Taylorsville,2829,804,804,284,0,1892,1892,
Bartow,White,2723,662,768,258,1,1689,1689,
Bartow,Zena Drive,6431,668,1717,615,6,3006,3006,
Bartow,Woodland,1865,333,548,221,1,1103,1103,
