County,Precinct,Registered Voters,Penny A. Penn (I) (Rep)_Election Day Votes,Penny A. Penn (I) (Rep)_Advanced Voting Votes,Penny A. Penn (I) (Rep)_Absentee by Mail Votes,Penny A. Penn (I) (Rep)_Provisional Votes,Penny A. Penn (I) (Rep)_Choice Total,Total,
Forsyth,01 Big Creek,11222,700,4605,1906,5,7216,7216,
Forsyth,02 Brandywine,4500,499,1275,609,2,2385,2385,
Forsyth,03 Browns Bridge,10740,914,4786,1337,3,7040,7040,
Forsyth,04 Chestatee,6776,635,3242,746,2,4625,4625,
Forsyth,05 Coal Mountain,7852,705,3674,814,1,5194,5194,
Forsyth,06 Crossroads,7061,584,3355,604,1,4544,4544,
Forsyth,07 Cumming,6281,425,2490,786,1,3702,3702,
Forsyth,08 Mashburn,8296,693,3721,1216,2,5632,5632,
Forsyth,10 Midway,11631,732,5864,1570,4,8170,8170,
Forsyth,15 Heardsville,8091,707,3922,959,0,5588,5588,
Forsyth,16 Otwell,6333,492,2812,906,3,4213,4213,
Forsyth,19 Old Atlanta,3739,229,1747,501,0,2477,2477,
Forsyth,21 South Forsyth,8318,372,4011,1294,3,5680,5680,
Forsyth,25 Windermere,9714,618,4489,1326,3,6436,6436,
Forsyth,27 Concord,9858,971,4931,974,3,6879,6879,
Forsyth,29 Polo,11222,838,4605,1792,0,7235,7235,
Forsyth,34 Fowler,4965,399,1981,700,1,3081,3081,
Forsyth,35 Johns Creek,8444,377,3435,1451,1,5264,5264,
Forsyth,36 Nichols,6989,429,3347,947,4,4727,4727,
Forsyth,37 Sawnee,11952,669,5790,1581,4,8044,8044,
