County,Precinct,Registered Voters,Brian Anderson (I) (Rep)_Election Day Votes,Brian Anderson (I) (Rep)_Advanced Voting Votes,Brian Anderson (I) (Rep)_Absentee by Mail Votes,Brian Anderson (I) (Rep)_Provisional Votes,Brian Anderson (I) (Rep)_Choice Total,Total,
Fayette,Blackrock,2699,161,603,365,9,1138,1138,
Fayette,Brooks,2567,553,892,367,0,1812,1812,
Fayette,Europe,3310,162,688,391,7,1248,1248,
Fayette,Fayetteville East,2147,156,538,276,4,974,974,
Fayette,Fayetteville West,2362,175,616,330,0,1121,1121,
Fayette,Flint,1732,176,410,195,0,781,781,
Fayette,Hopeful,2309,246,578,250,0,1074,1074,
Fayette,Morning Creek,3059,193,793,516,1,1503,1503,
Fayette,Rareover,3045,179,1480,278,3,1940,1940,
Fayette,Sandy Creek,4848,246,1581,458,4,2289,2289,
Fayette,Shakerag East,1689,229,582,185,2,998,998,
Fayette,Shakerag West,1236,64,567,171,1,803,803,
Fayette,Starrsmill,3572,439,1076,467,0,1982,1982,
Fayette,Whitewater,3564,349,1425,514,8,2296,2296,
Fayette,Woolsey,2542,346,850,419,0,1615,1615,
Fayette,McIntosh,3323,236,1400,457,2,2095,2095,
Fayette,Oak Grove,1344,155,542,141,1,839,839,
Fayette,Kedron,4862,440,1840,592,2,2874,2874,
Fayette,Aberdeen,1805,162,758,206,0,1126,1126,
Fayette,Windgate,1011,140,413,104,2,659,659,
Fayette,Flat Creek,2117,233,692,265,4,1194,1194,
Fayette,Braelinn,1876,206,861,261,1,1329,1329,
Fayette,Kenwood,1014,103,210,118,1,432,432,
Fayette,Banks,1624,189,378,251,0,818,818,
Fayette,Harps Crossing,1646,178,490,247,2,917,917,
Fayette,Willow Pond,3100,283,979,427,8,1697,1697,
Fayette,Dogwood,3092,281,1260,426,3,1970,1970,
Fayette,Oak Ridge,2225,209,546,346,3,1104,1104,
Fayette,Jeff Davis,2876,150,674,345,5,1174,1174,
Fayette,Murphy,3224,220,917,497,3,1637,1637,
Fayette,Fielding Ridge,3497,318,1537,413,0,2268,2268,
Fayette,Willowbend,2007,179,856,229,0,1264,1264,
Fayette,Camp Creek,1895,182,820,239,2,1243,1243,
Fayette,Rising Star,3833,414,1891,469,2,2776,2776,
Fayette,Spring Hill,3299,188,921,410,1,1520,1520,
Fayette,Antioch,1956,317,493,261,1,1072,1072,
