County,Precinct,Registered Voters,Mike Burke (I) (Rep)_Election Day Votes,Mike Burke (I) (Rep)_Advanced Voting Votes,Mike Burke (I) (Rep)_Absentee by Mail Votes,Mike Burke (I) (Rep)_Provisional Votes,Mike Burke (I) (Rep)_Choice Total,Total,
Walton,Bold Springs,4653,764,1912,628,0,3304,3304,
Walton,Whatley,1254,252,516,158,0,926,926,
Walton,Walker Park,3858,577,1524,477,0,2578,2578,
Walton,Gratis,1243,349,460,159,0,968,968,
Walton,Between,4925,347,2286,590,0,3223,3223,
Walton,Walnut Grove,2661,520,989,252,0,1761,1761,
Walton,Loganville North,5225,584,1802,614,0,3000,3000,
Walton,Social Circle,4604,841,1482,445,0,2768,2768,
Walton,South Monroe,3910,329,1409,424,0,2162,2162,
Walton,North Monroe,4818,492,1144,458,0,2094,2094,
Walton,Loganville South,3768,430,1288,491,0,2209,2209,
Walton,West Walton,4219,617,1770,533,0,2920,2920,
Walton,Broken Arrow,4380,618,1804,475,0,2897,2897,
Walton,Bay Creek,3401,383,1508,402,0,2293,2293,
Walton,E Monroe,4119,473,1075,347,0,1895,1895,
Walton,W Monroe,2027,268,920,254,0,1442,1442,
Walton,Tara,4050,360,1417,424,0,2201,2201,
Walton,Mountain,1657,301,625,185,0,1111,1111,
Walton,Jersey,1970,685,630,201,0,1516,1516,
Walton,Blasingame,1115,407,332,118,0,857,857,
Walton,Good Hope,2149,660,688,188,0,1536,1536,
