County,Precinct,Registered Voters,Sherri L. Washington (I) (Dem)_Election Day Votes,Sherri L. Washington (I) (Dem)_Advanced Voting Votes,Sherri L. Washington (I) (Dem)_Absentee by Mail Votes,Sherri L. Washington (I) (Dem)_Provisional Votes,Sherri L. Washington (I) (Dem)_Choice Total,Total,
Rockdale,BA,4803,367,1608,760,1,2736,2736,
Rockdale,BT,4007,362,849,464,2,1677,1677,
Rockdale,CO,3862,340,1071,480,2,1893,1893,
Rockdale,FI,6328,418,2308,1169,0,3895,3895,
Rockdale,FS,4038,258,1373,712,0,2343,2343,
Rockdale,HC,2411,179,707,348,0,1234,1234,
Rockdale,HI,3515,220,1135,546,0,1901,1901,
Rockdale,LA,2001,168,456,368,0,992,992,
Rockdale,LO,3943,363,1221,664,0,2248,2248,
Rockdale,MA,3180,275,911,456,1,1643,1643,
Rockdale,MI,4226,306,1336,631,4,2277,2277,
Rockdale,OT,6135,425,1932,913,4,3274,3274,
Rockdale,RO,4633,312,1565,706,1,2584,2584,
Rockdale,SM,4308,250,1607,727,4,2588,2588,
Rockdale,SP,4781,317,1830,754,2,2903,2903,
Rockdale,ST,3334,192,1063,529,2,1786,1786,
