County,Precinct,Registered Voters,Janice Morris (Dem)_Election Day Votes,Janice Morris (Dem)_Advanced Voting Votes,Janice Morris (Dem)_Absentee by Mail Votes,Janice Morris (Dem)_Provisional Votes,Janice Morris (Dem)_Choice Total,Total,
Rockdale,BA,4803,375,1615,784,1,2775,2775,
Rockdale,BT,4007,381,867,468,2,1718,1718,
Rockdale,CO,3862,345,1089,478,2,1914,1914,
Rockdale,FI,6328,415,2347,1172,0,3934,3934,
Rockdale,FS,4038,257,1399,706,0,2362,2362,
Rockdale,HC,2411,183,734,357,0,1274,1274,
Rockdale,HI,3515,231,1155,543,0,1929,1929,
Rockdale,LA,2001,169,474,371,0,1014,1014,
Rockdale,LO,3943,375,1238,663,0,2276,2276,
Rockdale,MA,3180,285,935,463,1,1684,1684,
Rockdale,MI,4226,314,1366,622,4,2306,2306,
Rockdale,OT,6135,433,1978,911,4,3326,3326,
Rockdale,RO,4633,320,1590,708,1,2619,2619,
Rockdale,SM,4308,253,1636,734,4,2627,2627,
Rockdale,SP,4781,327,1847,756,2,2932,2932,
Rockdale,ST,3334,192,1096,532,3,1823,1823,
