County,Precinct,Registered Voters,Don Skinner (Rep)_Election Day Votes,Don Skinner (Rep)_Advanced Voting Votes,Don Skinner (Rep)_Absentee by Mail Votes,Don Skinner (Rep)_Provisional Votes,Don Skinner (Rep)_Choice Total,Total,
Columbia,Woodlawn Baptist Church,1290,187,529,160,0,876,876,
Columbia,Blanchard Park,2026,301,588,213,2,1104,1104,
Columbia,Belair Baptist Church,2440,438,765,253,2,1458,1458,
Columbia,Marvin Methodist,1937,411,494,215,0,1120,1120,
Columbia,Westside Baptist Church,1516,336,470,243,0,1049,1049,
Columbia,Trinity Baptist Church,2836,523,913,339,3,1778,1778,
Columbia,Abilene Baptist,2046,372,606,231,0,1209,1209,
Columbia,Mtz Col Fire Hdqtr,1291,266,301,114,1,682,682,
Columbia,Martinez Baptist,1962,420,449,184,0,1053,1053,
Columbia,Gold Cross EMS,1889,271,563,341,4,1179,1179,
Columbia,Church of Our Savior,2310,407,624,274,3,1308,1308,
