index,County,Precinct,Registered Voters,Jason R. Troiano (I) (Rep)_Election Day Votes,Jason R. Troiano (I) (Rep)_Advanced Voting Votes,Jason R. Troiano (I) (Rep)_Absentee by Mail Votes,Jason R. Troiano (I) (Rep)_Provisional Votes,Jason R. Troiano (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,465,1197,224,0,1886,1886,
1,Columbia,Lewis Methodist Church,3737,502,1404,434,2,2342,2342,
2,Columbia,Woodlawn Baptist Church,1290,188,536,163,0,887,887,
3,Columbia,Patriots Park,4046,448,1702,341,0,2491,2491,
4,Columbia,New Life Church,4438,495,1497,348,1,2341,2341,
5,Columbia,Harlem Branch Library,2642,410,988,240,2,1640,1640,
6,Columbia,Harlem Senior Center,1819,379,588,158,0,1125,1125,
7,Columbia,Second Mt Moriah Baptist Church1027,179,442,91,1,713,713,,
8,Columbia,Bessie Thomas Center,799,120,382,70,2,574,574,
9,Columbia,Philadelphia Church,2355,289,853,206,1,1349,1349,
10,Columbia,Liberty Park-Grovetown,3410,430,1002,275,2,1709,1709,
11,Columbia,Grovetown Methodist Church,2736,359,609,219,6,1193,1193,
12,Columbia,G A Apostolic Church,1701,291,511,189,0,991,991,
13,Columbia,Grovetown Public Safety Station 23696,384,1111,335,1,1831,1831,,
14,Columbia,Grove First Baptist Church,2954,273,885,235,1,1394,1394,
15,Columbia,Eubank-Blanchard Center,1576,422,544,102,1,1069,1069,
16,Columbia,Second Mt Carmel Baptist Church731,157,173,57,0,387,387,,
17,Columbia,Damascus Baptist Church,1023,376,319,81,1,777,777,
18,Columbia,Col Cty Bd of Edu,2143,278,842,238,3,1361,1361,
19,Columbia,Greenbrier High,3369,572,1429,339,1,2341,2341,
20,Columbia,Parkway Baptist Church,4596,691,1893,428,3,3015,3015,
21,Columbia,Riverview Church,1320,188,551,157,0,896,896,
22,Columbia,Grace Baptist Church,3558,487,1356,319,0,2162,2162,
23,Columbia,Christ Sanctified,2521,412,896,251,1,1560,1560,
24,Columbia,Blanchard Park,2026,303,586,217,2,1108,1108,
25,Columbia,Belair Baptist Church,2440,435,768,254,2,1459,1459,
26,Columbia,Marvin Methodist,1937,412,495,214,0,1121,1121,
27,Columbia,Westside Baptist Church,1516,338,473,238,0,1049,1049,
28,Columbia,Trinity Baptist Church,2836,522,912,337,3,1774,1774,
29,Columbia,Abilene Baptist,2046,375,604,237,0,1216,1216,
30,Columbia,Augusta Christian,2179,398,650,280,1,1329,1329,
31,Columbia,Savannah Rapids Pavilion,1549,161,693,357,0,1211,1211,
32,Columbia,Gospel Water Branch,2096,304,797,271,2,1374,1374,
33,Columbia,Genesis Church,1830,295,654,264,0,1213,1213,
34,Columbia,Stevens Creek Church,2760,431,1109,395,1,1936,1936,
35,Columbia,Mtz Col Fire Hdqtr,1291,267,302,119,1,689,689,
36,Columbia,Lakeside Middle,1923,335,633,167,1,1136,1136,
37,Columbia,Martinez Baptist,1962,422,453,183,0,1058,1058,
38,Columbia,Gold Cross EMS,1889,272,559,344,4,1179,1179,
39,Columbia,Church of Our Savior,2310,408,623,275,4,1310,1310,
40,Columbia,West Acres Baptist,2424,360,905,281,1,1547,1547,
41,Columbia,Journey Comm Church,1268,181,564,174,3,922,922,
42,Columbia,Wesley Methodist,2434,388,997,262,3,1650,1650,
43,Columbia,Col Cty Main Library,2106,233,847,210,1,1291,1291,
44,Columbia,Christ Church Presbyterian,2081,334,862,214,2,1412,1412,
45,Columbia,Blue Ridge Elementary,2301,370,774,226,1,1371,1371,
46,Columbia,Christ The King Luth Church,2148,225,887,324,1,1437,1437,
