index,County,Precinct,Registered Voters,Deborah Collett (Rep)_Election Day Votes,Deborah Collett (Rep)_Advanced Voting Votes,Deborah Collett (Rep)_Absentee by Mail Votes,Deborah Collett (Rep)_Provisional Votes,Deborah Collett (Rep)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,692,3004,700,5,4401,4401,
1,Paulding,Crossroads Library,3662,370,1663,517,1,2551,2551,
2,Paulding,Shelton Elementary,5095,569,1960,590,3,3122,3122,
3,Paulding,Russom Elementary,8243,823,3231,1302,6,5362,5362,
4,Paulding,Paulding Sr Center,5972,610,2183,612,6,3411,3411,
5,Paulding,Legacy Bapt Church,4443,399,1339,609,4,2351,2351,
6,Paulding,Watson Govt Cmplx,10774,885,3422,1184,9,5500,5500,
7,Paulding,West Ridge Church,11546,1227,4189,1512,4,6932,6932,
8,Paulding,Events Place,4923,373,1250,545,3,2171,2171,
9,Paulding,Poplar Sprgs Bapt Church,4825,390,1361,502,0,2253,2253,
10,Paulding,D Wright Innovation Ctr,7137,630,2693,596,2,3921,3921,
11,Paulding,Nebo Elem School,10070,1243,3669,1012,4,5928,5928,
12,Paulding,White Oak Park,5833,635,1980,601,8,3224,3224,
13,Paulding,Mulberry Rock Park,5911,771,2492,675,5,3943,3943,
14,Paulding,Beulahland Baptist Church,2547,404,992,231,3,1630,1630,
15,Paulding,Paulding County Airport,4132,614,1475,404,5,2498,2498,
16,Paulding,Picketts Mill Baptist Church,2748,344,1081,361,1,1787,1787,
17,Paulding,Taylor Farm Park,2761,233,951,341,0,1525,1525,
18,Paulding,Dobbins Middle School,8081,585,2707,844,2,4138,4138,
