County,Precinct,Registered Voters,Sheila_Election Day Votes,Sheila_Advanced Voting Votes,Sheila_Absentee by Mail Votes,Sheila_Provisional Votes,Sheila_Choice Total,Total,
Paulding,Burnt Hickory Park,6242,696,3029,734,5,4464,4464,
Paulding,Crossroads Library,3662,366,1665,522,1,2554,2554,
Paulding,Shelton Elementary,5095,565,1972,588,3,3128,3128,
Paulding,Russom Elementary,8243,835,3250,1331,6,5422,5422,
Paulding,Paulding Sr Center,5972,616,2182,621,6,3425,3425,
Paulding,Legacy Bapt Church,4443,399,1347,636,3,2385,2385,
Paulding,Watson Govt Cmplx,10774,888,3454,1211,9,5562,5562,
Paulding,West Ridge Church,11546,1245,4222,1559,5,7031,7031,
Paulding,Events Place,4923,375,1252,552,3,2182,2182,
Paulding,Poplar Sprgs Bapt Church,4825,400,1366,507,0,2273,2273,
Paulding,D Wright Innovation Ctr,7137,644,2710,600,2,3956,3956,
Paulding,Nebo Elem School,10070,1262,3697,1022,5,5986,5986,
Paulding,White Oak Park,5833,634,1987,618,8,3247,3247,
Paulding,Mulberry Rock Park,5911,775,2507,696,5,3983,3983,
Paulding,Beulahland Baptist Church,2547,411,1006,232,3,1652,1652,
Paulding,Paulding County Airport,4132,620,1492,425,5,2542,2542,
Paulding,Picketts Mill Baptist Church,2748,347,1095,365,1,1808,1808,
Paulding,Taylor Farm Park,2761,238,948,346,0,1532,1532,
Paulding,Dobbins Middle School,8081,597,2722,842,2,4163,4163,
