index,County,Precinct,Registered Voters,Charles Baker (I) (Rep)_Election Day Votes,Charles Baker (I) (Rep)_Advanced Voting Votes,Charles Baker (I) (Rep)_Absentee by Mail Votes,Charles Baker (I) (Rep)_Provisional Votes,Charles Baker (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,466,1912,1141,0,3519,3519,
1,Hall,Chicopee,0,361,1071,347,0,1779,1779,
2,Hall,Oakwood I,0,324,762,245,0,1331,1331,
3,Hall,Oakwood II,0,469,1632,550,0,2651,2651,
4,Hall,Flowery Branch I,0,489,1721,584,0,2794,2794,
5,Hall,Flowery Branch II,0,468,1251,361,0,2080,2080,
6,Hall,Roberts,0,579,2182,885,0,3646,3646,
7,Hall,Morgan I,0,518,1743,426,0,2687,2687,
8,Hall,Morgan II,0,460,1854,566,0,2880,2880,
9,Hall,Candler,0,666,2057,655,0,3378,3378,
10,Hall,Tadmore,0,660,1506,545,0,2711,2711,
11,Hall,Glade,0,418,1343,411,0,2172,2172,
12,Hall,Lula,0,590,1288,334,0,2212,2212,
13,Hall,Clermont,0,438,1741,362,0,2541,2541,
14,Hall,Quillians,0,246,1468,316,0,2030,2030,
15,Hall,Bark Camp,0,531,2536,709,0,3776,3776,
16,Hall,Chestatee,0,530,1519,526,0,2575,2575,
17,Hall,Fork,0,558,1271,457,0,2286,2286,
18,Hall,Whelchel,0,428,1872,555,0,2855,2855,
19,Hall,West Whelchel,0,374,1613,787,0,2774,2774,
20,Hall,Gainesville I,0,448,1196,587,0,2231,2231,
21,Hall,Gainesville II,0,203,400,323,0,926,926,
22,Hall,Gainesville III,0,517,992,402,0,1911,1911,
23,Hall,Gainesville IV,0,254,791,337,0,1382,1382,
24,Hall,Gainesville V,0,184,424,154,0,762,762,
25,Hall,Gillsville,0,334,391,95,0,820,820,
26,Hall,Big Hickory,0,402,1909,487,0,2798,2798,
27,Hall,Friendship I,0,605,3809,1477,0,5891,5891,
28,Hall,Friendship II,0,445,1347,329,0,2121,2121,
29,Hall,Friendship III,0,420,2023,438,0,2881,2881,
30,Hall,Friendship IV,0,213,1814,358,0,2385,2385,
