County,Precinct,Registered Voters,Jeffrey E. Turner (I) (Dem)_Election Day Votes,Jeffrey E. Turner (I) (Dem)_Advanced Voting Votes,Jeffrey E. Turner (I) (Dem)_Absentee by Mail Votes,Jeffrey E. Turner (I) (Dem)_Provisional Votes,Jeffrey E. Turner (I) (Dem)_Choice Total,Total,
Clayton,Ellenwood 1,3020,228,1179,643,5,2055,2055,
Clayton,Ellenwood 2,3273,252,1317,582,4,2155,2155,
Clayton,Forest Park 1,3566,427,526,381,9,1343,1343,
Clayton,Forest Park 2,2821,321,578,383,10,1292,1292,
Clayton,Forest Park 3,2845,276,496,362,19,1153,1153,
Clayton,Forest Park 4,1783,189,403,203,0,795,795,
Clayton,Forest Park 5,3924,426,782,399,18,1625,1625,
Clayton,Forest Park 6,1463,132,358,151,2,643,643,
Clayton,Jonesboro 1,3244,298,969,599,6,1872,1872,
Clayton,Jonesboro 2,4345,391,1282,742,10,2425,2425,
Clayton,Jonesboro 3,4107,305,1272,798,8,2383,2383,
Clayton,Jonesboro 4,2574,234,551,278,5,1068,1068,
Clayton,Jonesboro 5,2064,265,571,327,0,1163,1163,
Clayton,Jonesboro 6,2574,159,717,584,3,1463,1463,
Clayton,Jonesboro 7,3174,296,959,515,6,1776,1776,
Clayton,Jonesboro 8,3947,439,1012,365,4,1820,1820,
Clayton,Jonesboro 9,1759,158,332,199,3,692,692,
Clayton,Jonesboro 10,3398,349,709,420,5,1483,1483,
Clayton,Jonesboro 11,3863,294,1219,747,3,2263,2263,
Clayton,Jonesboro 12,3067,324,861,418,13,1616,1616,
Clayton,Jonesboro 13,2140,249,682,377,4,1312,1312,
Clayton,Jonesboro 14,4116,293,1353,804,4,2454,2454,
Clayton,Jonesboro 15,2872,253,683,264,9,1209,1209,
Clayton,Jonesboro 16,2560,315,563,336,4,1218,1218,
Clayton,Jonesboro 17,3359,313,799,499,10,1621,1621,
Clayton,Jonesboro 18,3301,339,951,439,6,1735,1735,
Clayton,Jonesboro 19,3299,307,901,505,11,1724,1724,
Clayton,Lake City,3217,280,841,380,10,1511,1511,
Clayton,Lovejoy 1,4061,337,1419,628,2,2386,2386,
Clayton,Lovejoy 2,3611,259,1135,483,9,1886,1886,
Clayton,Lovejoy 3,1666,127,632,375,3,1137,1137,
Clayton,Lovejoy 4,4149,295,1583,625,4,2507,2507,
Clayton,Lovejoy 5,3451,314,1028,493,15,1850,1850,
Clayton,Lovejoy 6,3708,288,1265,601,7,2161,2161,
Clayton,Lovejoy 7,2779,252,825,223,5,1305,1305,
Clayton,Morrow 1,3328,418,778,375,2,1573,1573,
Clayton,Morrow 2,2081,147,538,280,3,968,968,
Clayton,Morrow 3,2407,193,623,371,5,1192,1192,
Clayton,Morrow 4,2112,212,509,281,3,1005,1005,
Clayton,Morrow 5,3056,282,1092,588,2,1964,1964,
Clayton,Morrow 6,3030,321,957,447,5,1730,1730,
Clayton,Morrow 7,2142,278,464,248,7,997,997,
Clayton,Morrow 8,3185,279,1120,545,10,1954,1954,
Clayton,Morrow 9,1509,135,413,228,1,777,777,
Clayton,Morrow 10,2342,172,842,290,3,1307,1307,
Clayton,Morrow 11,2295,247,681,291,2,1221,1221,
Clayton,Oak 1,2635,333,733,282,3,1351,1351,
Clayton,Oak 2,1974,236,424,218,9,887,887,
Clayton,Oak 3,2731,317,676,373,5,1371,1371,
Clayton,Oak 4,4233,445,1127,482,7,2061,2061,
Clayton,Oak 5,1795,185,396,84,5,670,670,
Clayton,Panhandle 1,2895,250,1071,583,2,1906,1906,
Clayton,Panhandle 2,3382,308,1229,515,5,2057,2057,
Clayton,Riverdale 1,2330,178,846,431,9,1464,1464,
Clayton,Riverdale 2,3431,323,917,536,25,1801,1801,
Clayton,Riverdale 3,3650,343,1109,606,7,2065,2065,
Clayton,Riverdale 4,4362,442,1007,659,9,2117,2117,
Clayton,Riverdale 5,2970,321,828,435,9,1593,1593,
Clayton,Riverdale 6,3661,372,685,398,9,1464,1464,
Clayton,Riverdale 7,3020,313,551,334,12,1210,1210,
Clayton,Riverdale 8,2895,247,917,616,5,1785,1785,
Clayton,Riverdale 9,2653,281,738,391,7,1417,1417,
Clayton,Riverdale 10,3176,333,679,289,9,1310,1310,
Clayton,Riverdale 11,1881,174,626,313,1,1114,1114,
Clayton,Riverdale 12,3065,309,914,531,2,1756,1756,
