County,Precinct,Registered Voters,Demetrius Douglas (I) (Dem)_Election Day Votes,Demetrius Douglas (I) (Dem)_Advanced Voting Votes,Demetrius Douglas (I) (Dem)_Absentee by Mail Votes,Demetrius Douglas (I) (Dem)_Provisional Votes,Demetrius Douglas (I) (Dem)_Choice Total,Total,
Clayton,Jonesboro 3,4107,30,74,60,2,166,166,
Clayton,Jonesboro 5,2064,268,563,327,0,1158,1158,
Clayton,Jonesboro 6,2574,155,674,562,3,1394,1394,
Clayton,Jonesboro 8,3947,445,1025,372,2,1844,1844,
Clayton,Jonesboro 11,3863,106,476,236,1,819,819,
Clayton,Jonesboro 14,4116,287,1333,818,2,2440,2440,
Clayton,Lovejoy 1,4061,38,138,57,0,233,233,
Clayton,Lovejoy 2,3611,261,1137,489,7,1894,1894,
Clayton,Lovejoy 3,1666,125,633,371,2,1131,1131,
Clayton,Lovejoy 4,4149,301,1588,643,3,2535,2535,
Clayton,Lovejoy 5,3451,107,365,142,0,614,614,
Clayton,Lovejoy 6,3708,294,1271,619,9,2193,2193,
Clayton,Lovejoy 7,2779,256,820,223,6,1305,1305,
Clayton,Morrow 9,1509,132,412,225,0,769,769,
