County,Precinct,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,
Bibb,East Macon 1,2108,242,373,333,6,954,954,
Bibb,East Macon 2,3932,465,1013,759,7,2244,2244,
Bibb,East Macon 3,3494,361,821,565,7,1754,1754,
Bibb,East Macon 4,2280,361,514,455,5,1335,1335,
Bibb,East Macon 5,2552,311,641,490,2,1444,1444,
Bibb,Godfrey 1,6283,605,1482,998,6,3091,3091,
Bibb,Godfrey 2,2158,222,360,261,1,844,844,
Bibb,Godfrey 3,3292,400,738,456,6,1600,1600,
Bibb,Godfrey 4,2231,256,350,273,2,881,881,
Bibb,Godfrey 5,4761,662,1144,645,4,2455,2455,
Bibb,Hazzard 1,3377,470,774,518,3,1765,1765,
Bibb,Hazzard 2,4173,665,1060,484,5,2214,2214,
Bibb,Hazzard 3,7068,690,1993,1115,14,3812,3812,
Bibb,Hazzard 4,4745,576,1379,730,3,2688,2688,
Bibb,Howard 1,3436,348,911,548,3,1810,1810,
Bibb,Howard 2,3394,368,919,525,4,1816,1816,
Bibb,Howard 3,6397,711,1811,950,4,3476,3476,
Bibb,Howard 4,1711,197,481,243,1,922,922,
Bibb,Howard 5,2272,350,596,241,4,1191,1191,
Bibb,Howard 6,2213,250,635,299,8,1192,1192,
Bibb,Howard 7,2897,361,777,453,3,1594,1594,
Bibb,Rutland 1,5704,762,1491,725,3,2981,2981,
Bibb,Rutland 2,3409,529,731,358,4,1622,1622,
Bibb,Vineville 1,3572,363,844,552,4,1763,1763,
Bibb,Vineville 2,2067,256,416,361,0,1033,1033,
Bibb,Vineville 3,3127,328,781,537,5,1651,1651,
Bibb,Vineville 4,4097,550,962,638,9,2159,2159,
Bibb,Vineville 5,2359,264,642,339,2,1247,1247,
Bibb,Vineville 6,3021,369,735,485,5,1594,1594,
Bibb,Warrior 1,2617,458,543,313,2,1316,1316,
Bibb,Warrior 2,3232,380,843,384,4,1611,1611,
