County,Precinct,Registered Voters,S. Wade McCord (I) (Dem)_Election Day Votes,S. Wade McCord (I) (Dem)_Advanced Voting Votes,S. Wade McCord (I) (Dem)_Absentee by Mail Votes,S. Wade McCord (I) (Dem)_Provisional Votes,S. Wade McCord (I) (Dem)_Choice Total,Total,
Bibb,East Macon 1,2108,240,371,322,6,939,939,
Bibb,East Macon 2,3932,462,997,759,7,2225,2225,
Bibb,East Macon 3,3494,364,855,587,7,1813,1813,
Bibb,East Macon 4,2280,354,508,458,6,1326,1326,
Bibb,East Macon 5,2552,312,649,494,2,1457,1457,
Bibb,Godfrey 1,6283,607,1476,979,5,3067,3067,
Bibb,Godfrey 2,2158,220,349,262,1,832,832,
Bibb,Godfrey 3,3292,393,720,456,6,1575,1575,
Bibb,Godfrey 4,2231,253,351,266,2,872,872,
Bibb,Godfrey 5,4761,658,1132,654,3,2447,2447,
Bibb,Hazzard 1,3377,471,777,523,3,1774,1774,
Bibb,Hazzard 2,4173,684,1094,509,5,2292,2292,
Bibb,Hazzard 3,7068,698,2034,1135,13,3880,3880,
Bibb,Hazzard 4,4745,625,1456,776,4,2861,2861,
Bibb,Howard 1,3436,384,1022,646,2,2054,2054,
Bibb,Howard 2,3394,399,998,595,4,1996,1996,
Bibb,Howard 3,6397,730,1918,1027,4,3679,3679,
Bibb,Howard 4,1711,207,513,259,1,980,980,
Bibb,Howard 5,2272,360,612,254,4,1230,1230,
Bibb,Howard 6,2213,268,683,326,10,1287,1287,
Bibb,Howard 7,2897,385,847,500,3,1735,1735,
Bibb,Rutland 1,5704,835,1594,790,3,3222,3222,
Bibb,Rutland 2,3409,572,777,397,5,1751,1751,
Bibb,Vineville 1,3572,377,874,570,4,1825,1825,
Bibb,Vineville 2,2067,259,442,365,0,1066,1066,
Bibb,Vineville 3,3127,327,768,531,4,1630,1630,
Bibb,Vineville 4,4097,551,959,633,9,2152,2152,
Bibb,Vineville 5,2359,284,693,376,2,1355,1355,
Bibb,Vineville 6,3021,399,782,527,5,1713,1713,
Bibb,Warrior 1,2617,483,575,337,2,1397,1397,
Bibb,Warrior 2,3232,413,892,414,3,1722,1722,
