County,Precinct,Registered Voters,Sandra S. Wright (I) (Rep)_Election Day Votes,Sandra S. Wright (I) (Rep)_Advanced Voting Votes,Sandra S. Wright (I) (Rep)_Absentee by Mail Votes,Sandra S. Wright (I) (Rep)_Provisional Votes,Sandra S. Wright (I) (Rep)_Choice Total,Total,
Emanuel,Oak Park,686,268,151,49,0,468,468,
Emanuel,Cross-Green,241,63,42,23,0,128,128,
Emanuel,Swainsboro,6988,874,2138,760,1,3773,3773,
Emanuel,Summertown,504,164,113,46,0,323,323,
Emanuel,Stillmore,608,173,120,37,0,330,330,
Emanuel,Blundale,756,230,259,67,0,556,556,
Emanuel,Canoochee,681,252,154,44,0,450,450,
Emanuel,Garfield,489,215,93,36,0,344,344,
Emanuel,Nunez,384,133,90,24,0,247,247,
Emanuel,Twin City,1551,373,444,149,0,966,966,
Emanuel,Adrian,827,245,166,98,0,509,509,
