County,Precinct,Registered Voters,"Clifford Walton, Jr. (Dem)_Election Day Votes","Clifford Walton, Jr. (Dem)_Advanced Voting Votes","Clifford Walton, Jr. (Dem)_Absentee by Mail Votes","Clifford Walton, Jr. (Dem)_Provisional Votes","Clifford Walton, Jr. (Dem)_Choice Total",Total,
Sumter,Agri-Center,2059,153,654,237,1,1045,1045,
Sumter,Airport,1767,169,627,238,0,1034,1034,
Sumter,Andersonville,434,130,74,44,0,248,248,
Sumter,Browns Mill,929,118,251,105,0,474,474,
Sumter,Concord,376,81,70,26,4,181,181,
Sumter,GSW Conf Center,3044,241,1010,398,2,1651,1651,
Sumter,Leslie,1687,269,382,171,2,824,824,
Sumter,Plains,1061,207,243,138,1,589,589,
Sumter,Rec Dept,2667,285,802,483,1,1571,1571,
Sumter,Reese Park,3064,283,821,461,0,1565,1565,
Sumter,Thompson,712,115,142,76,1,334,334,
