index,County,Precinct,Registered Voters,Omeeka Loggins (I) (Dem)_Election Day Votes,Omeeka Loggins (I) (Dem)_Advanced Voting Votes,Omeeka Loggins (I) (Dem)_Absentee by Mail Votes,Omeeka Loggins (I) (Dem)_Provisional Votes,Omeeka Loggins (I) (Dem)_Choice Total,Total,
0,Richmond,101,896,132,205,150,3,490,490,
1,Richmond,102,1278,152,185,201,3,541,541,
2,Richmond,103,1428,157,293,272,2,724,724,
3,Richmond,104,2976,427,536,552,3,1518,1518,
4,Richmond,105,832,112,224,165,1,502,502,
5,Richmond,106,1182,163,132,133,1,429,429,
6,Richmond,107,1800,222,373,322,1,918,918,
7,Richmond,108,517,73,110,109,0,292,292,
8,Richmond,109,1052,114,258,175,1,548,548,
9,Richmond,111,1578,196,277,288,1,762,762,
10,Richmond,112,882,58,162,186,2,408,408,
11,Richmond,114,856,118,141,146,1,406,406,
12,Richmond,201,581,233,264,226,4,727,727,
13,Richmond,115,1332,64,69,68,0,201,201,
14,Richmond,202,4492,610,866,613,7,2096,2096,
15,Richmond,203,991,131,162,191,2,486,486,
16,Richmond,204,1578,219,338,238,3,798,798,
17,Richmond,207,2705,349,436,415,8,1208,1208,
18,Richmond,208,2651,339,519,415,4,1277,1277,
19,Richmond,210,1507,168,344,364,4,880,880,
20,Richmond,301,2409,310,599,400,2,1311,1311,
21,Richmond,302,1032,157,238,131,0,526,526,
22,Richmond,303,1417,128,372,218,1,719,719,
23,Richmond,304,365,49,86,60,0,195,195,
24,Richmond,305,428,35,127,83,0,245,245,
25,Richmond,306,3934,406,1006,670,3,2085,2085,
26,Richmond,307,1642,163,366,288,0,817,817,
27,Richmond,308,622,71,147,90,1,309,309,
28,Richmond,309,3340,348,1150,773,3,2274,2274,
29,Richmond,310,5163,540,1545,1024,3,3112,3112,
30,Richmond,401,2093,248,708,499,0,1455,1455,
31,Richmond,402,3311,463,564,538,4,1569,1569,
32,Richmond,404,1748,247,477,370,4,1098,1098,
33,Richmond,405,4424,364,1490,1125,2,2981,2981,
34,Richmond,406,3221,345,1029,806,4,2184,2184,
35,Richmond,501,3549,402,757,775,2,1936,1936,
36,Richmond,502,4138,507,984,883,7,2381,2381,
37,Richmond,503,4021,409,960,792,5,2166,2166,
38,Richmond,504,2339,320,419,320,5,1064,1064,
39,Richmond,506,416,48,89,47,2,186,186,
40,Richmond,507,968,162,234,145,1,542,542,
41,Richmond,509,2172,229,631,453,5,1318,1318,
42,Richmond,601,3988,409,911,591,13,1924,1924,
43,Richmond,603,3570,486,659,500,2,1647,1647,
44,Richmond,604,1811,268,342,264,0,874,874,
45,Richmond,605,3880,451,789,636,1,1877,1877,
46,Richmond,607,1812,197,537,418,1,1153,1153,
47,Richmond,608,1472,211,300,209,1,721,721,
48,Richmond,701,2403,279,553,405,2,1239,1239,
49,Richmond,702,1943,272,432,248,0,952,952,
50,Richmond,703,4644,539,1061,598,6,2204,2204,
51,Richmond,705,2276,237,561,412,1,1211,1211,
52,Richmond,706,3315,274,924,557,2,1757,1757,
53,Richmond,707,2122,313,534,255,2,1104,1104,
54,Richmond,708,305,17,90,34,0,141,141,
55,Richmond,709,576,52,141,113,0,306,306,
56,Richmond,801,523,100,48,71,1,220,220,
57,Richmond,801B,523,119,36,64,0,219,219,
58,Richmond,802,3251,559,461,408,2,1430,1430,
59,Richmond,803,252,31,37,29,1,98,98,
60,Richmond,804,2096,255,516,314,0,1085,1085,
61,Richmond,804H,2863,381,621,452,5,1459,1459,
62,Richmond,805,798,101,229,128,1,459,459,
63,Richmond,806,1212,189,250,155,1,595,595,
64,Richmond,807,1578,176,368,270,1,815,815,
65,Richmond,808,2366,343,577,383,1,1304,1304,
66,Richmond,809,879,82,318,194,2,596,596,
67,Richmond,810,425,40,128,68,0,236,236,
