County,Precinct,Registered Voters,Richard Roundtree (I) (Dem)_Election Day Votes,Richard Roundtree (I) (Dem)_Advanced Voting Votes,Richard Roundtree (I) (Dem)_Absentee by Mail Votes,Richard Roundtree (I) (Dem)_Provisional Votes,Richard Roundtree (I) (Dem)_Choice Total,Total,
Richmond,101,896,134,204,158,3,499,499,
Richmond,102,1278,145,196,191,2,534,534,
Richmond,103,1428,152,289,271,2,714,714,
Richmond,104,2976,420,532,574,3,1529,1529,
Richmond,105,832,112,225,169,1,507,507,
Richmond,106,1182,155,134,134,1,424,424,
Richmond,107,1800,228,399,360,1,988,988,
Richmond,108,517,72,110,116,0,298,298,
Richmond,109,1052,112,250,181,1,544,544,
Richmond,111,1578,197,277,291,1,766,766,
Richmond,112,882,53,167,202,2,424,424,
Richmond,114,856,117,137,141,1,396,396,
Richmond,201,581,230,260,226,5,721,721,
Richmond,115,1332,66,73,68,0,207,207,
Richmond,202,4492,609,862,636,6,2113,2113,
Richmond,203,991,127,168,196,3,494,494,
Richmond,204,1578,226,353,253,3,835,835,
Richmond,207,2705,347,442,411,6,1206,1206,
Richmond,208,2651,334,517,425,4,1280,1280,
Richmond,210,1507,167,343,363,4,877,877,
Richmond,301,2409,321,659,452,1,1433,1433,
Richmond,302,1032,149,240,140,0,529,529,
Richmond,303,1417,139,430,242,1,812,812,
Richmond,304,365,52,84,61,0,197,197,
Richmond,305,428,40,140,106,0,286,286,
Richmond,306,3934,409,1027,689,3,2128,2128,
Richmond,307,1642,183,409,308,0,900,900,
Richmond,308,622,71,146,98,1,316,316,
Richmond,309,3340,349,1150,771,3,2273,2273,
Richmond,310,5163,531,1553,1035,3,3122,3122,
Richmond,401,2093,246,711,500,0,1457,1457,
Richmond,402,3311,451,556,551,3,1561,1561,
Richmond,404,1748,235,466,370,4,1075,1075,
Richmond,405,4424,354,1483,1122,3,2962,2962,
Richmond,406,3221,346,1027,816,4,2193,2193,
Richmond,501,3549,389,760,793,3,1945,1945,
Richmond,502,4138,501,980,881,8,2370,2370,
Richmond,503,4021,413,981,807,4,2205,2205,
Richmond,504,2339,328,414,320,5,1067,1067,
Richmond,506,416,45,94,47,2,188,188,
Richmond,507,968,160,245,149,1,555,555,
Richmond,509,2172,228,639,454,4,1325,1325,
Richmond,601,3988,416,913,603,15,1947,1947,
Richmond,603,3570,512,678,529,2,1721,1721,
Richmond,604,1811,276,340,269,0,885,885,
Richmond,605,3880,455,800,663,1,1919,1919,
Richmond,607,1812,190,537,416,1,1144,1144,
Richmond,608,1472,227,309,213,1,750,750,
Richmond,701,2403,290,599,443,2,1334,1334,
Richmond,702,1943,276,464,266,0,1006,1006,
Richmond,703,4644,535,1086,623,5,2249,2249,
Richmond,705,2276,258,599,453,1,1311,1311,
Richmond,706,3315,276,942,585,2,1805,1805,
Richmond,707,2122,306,540,257,2,1105,1105,
Richmond,708,305,17,101,37,0,155,155,
Richmond,709,576,55,146,118,0,319,319,
Richmond,801,523,115,54,77,1,247,247,
Richmond,801B,523,152,40,68,0,260,260,
Richmond,802,3251,564,474,430,2,1470,1470,
Richmond,803,252,31,39,28,1,99,99,
Richmond,804,2096,260,530,319,1,1110,1110,
Richmond,804H,2863,384,626,466,5,1481,1481,
Richmond,805,798,103,225,133,1,462,462,
Richmond,806,1212,199,263,164,1,627,627,
Richmond,807,1578,177,372,274,1,824,824,
Richmond,808,2366,355,585,400,1,1341,1341,
Richmond,809,879,81,312,201,2,596,596,
Richmond,810,425,40,125,66,0,231,231,
