County,Precinct,Registered Voters,Tracy L. Maddux (I) (Rep)_Election Day Votes,Tracy L. Maddux (I) (Rep)_Advanced Voting Votes,Tracy L. Maddux (I) (Rep)_Absentee by Mail Votes,Tracy L. Maddux (I) (Rep)_Provisional Votes,Tracy L. Maddux (I) (Rep)_Choice Total,Total,
Chattooga,Coldwater,248,31,92,30,0,153,153,
Chattooga,Dirtseller,186,48,62,9,0,119,119,
Chattooga,Haywood,169,77,23,6,1,107,107,
Chattooga,Lyerly,934,233,287,71,2,593,593,
Chattooga,Trion,3496,622,1251,345,1,2219,2219,
Chattooga,Summerville,5155,637,1905,560,1,3103,3103,
Chattooga,Teloga,593,91,254,80,0,425,425,
Chattooga,Dirttown,897,262,276,83,0,621,621,
Chattooga,Seminole,138,37,46,19,0,102,102,
Chattooga,Subligna,489,171,128,54,1,354,354,
Chattooga,Alpine,872,277,247,79,0,603,603,
Chattooga,Cloudland,378,85,124,44,0,253,253,
Chattooga,Pennville,588,76,211,45,0,332,332,
