County,Precinct,Registered Voters,Earle Rainwater (I) (Dem)_Election Day Votes,Earle Rainwater (I) (Dem)_Advanced Voting Votes,Earle Rainwater (I) (Dem)_Absentee by Mail Votes,Earle Rainwater (I) (Dem)_Provisional Votes,Earle Rainwater (I) (Dem)_Choice Total,Total,
Chattooga,Coldwater,248,32,100,35,0,167,167,
Chattooga,Dirtseller,186,47,60,10,0,117,117,
Chattooga,Haywood,169,68,16,8,1,93,93,
Chattooga,Lyerly,934,241,289,77,1,608,608,
Chattooga,Trion,3496,579,1182,350,1,2112,2112,
Chattooga,Summerville,5155,626,1893,637,2,3158,3158,
Chattooga,Teloga,593,78,230,78,0,386,386,
Chattooga,Dirttown,897,234,244,97,0,575,575,
Chattooga,Seminole,138,37,41,17,0,95,95,
Chattooga,Subligna,489,146,110,56,1,313,313,
Chattooga,Alpine,872,273,237,92,0,602,602,
Chattooga,Cloudland,378,81,125,50,0,256,256,
Chattooga,Pennville,588,72,196,51,0,319,319,
