County,Precinct,Registered Voters,Tarece Johnson (Dem)_Election Day Votes,Tarece Johnson (Dem)_Advanced Voting Votes,Tarece Johnson (Dem)_Absentee by Mail Votes,Tarece Johnson (Dem)_Provisional Votes,Tarece Johnson (Dem)_Choice Total,Total,
Gwinnett,MARTINS A,3303,394,878,473,3,1748,1748,
Gwinnett,PINCKNEYVILLE A,2791,393,658,377,4,1432,1432,
Gwinnett,PINCKNEYVILLE B,3485,355,843,434,4,1636,1636,
Gwinnett,PINCKNEYVILLE D,2264,303,490,247,3,1043,1043,
Gwinnett,PINCKNEYVILLE E,2184,296,548,309,5,1158,1158,
Gwinnett,PINCKNEYVILLE F,2546,296,565,367,1,1229,1229,
Gwinnett,MARTINS D,2402,315,504,329,0,1148,1148,
Gwinnett,PINCKNEYVILLE I,2635,313,653,358,2,1326,1326,
Gwinnett,PINCKNEYVILLE J,2613,315,685,303,2,1305,1305,
Gwinnett,PINCKNEYVILLE K,3754,455,911,499,7,1872,1872,
Gwinnett,PINCKNEYVILLE N,3819,528,1044,512,4,2088,2088,
Gwinnett,PINCKNEYVILLE O,3359,348,888,404,4,1644,1644,
Gwinnett,MARTINS E,6193,697,1547,737,3,2984,2984,
Gwinnett,PINCKNEYVILLE Q,1915,326,462,248,1,1037,1037,
Gwinnett,MARTINS F,2570,293,546,387,1,1227,1227,
Gwinnett,PINCKNEYVILLE S,3374,421,742,524,2,1689,1689,
Gwinnett,DULUTH F,6161,394,924,541,2,1861,1861,
Gwinnett,PINCKNEYVILLE U,2090,307,505,353,5,1170,1170,
Gwinnett,BERKSHIRE L,3265,425,810,498,0,1733,1733,
Gwinnett,PINCKNEYVILLE V,1706,159,405,241,1,806,806,
Gwinnett,PINCKNEYVILLE W,4253,241,498,343,3,1085,1085,
Gwinnett,MARTINS I,4078,449,953,627,3,2032,2032,
Gwinnett,MARTINS J,3923,543,1046,557,1,2147,2147,
Gwinnett,PINCKNEYVILLE Y,3272,421,722,386,1,1530,1530,
Gwinnett,DULUTH K,2786,275,638,348,1,1262,1262,
