County,Precinct,Registered Voters,Michael C. Harris (I) (Dem)_Election Day Votes,Michael C. Harris (I) (Dem)_Advanced Voting Votes,Michael C. Harris (I) (Dem)_Absentee by Mail Votes,Michael C. Harris (I) (Dem)_Provisional Votes,Michael C. Harris (I) (Dem)_Choice Total,Total,
Henry,Locust Grove,6978,499,2585,1023,3,4110,4110,
Henry,Tussahaw,3409,354,859,264,0,1477,1477,
Henry,Sandy Ridge,4875,518,1483,402,4,2407,2407,
Henry,Westside,6971,622,1807,1019,7,3455,3455,
Henry,Lowes,9878,722,3324,1605,6,5657,5657,
Henry,South Hampton,5476,402,1914,672,2,2990,2990,
Henry,North Hampton,7156,481,2505,990,2,3978,3978,
Henry,Mt Carmel,5335,354,2212,953,1,3520,3520,
Henry,Red Oak,5610,394,2373,923,1,3691,3691,
Henry,Wesley Lakes,6144,485,2322,931,4,3742,3742,
Henry,McDonough,2838,229,985,466,6,1686,1686,
Henry,McMullen,3719,389,1174,397,0,1960,1960,
Henry,East Lake,3389,241,1132,433,0,1806,1806,
Henry,Hickory Flat,5122,373,1956,813,1,3143,3143,
Henry,Stockbridge East-West,6541,443,2333,1177,5,3958,3958,
Henry,Stagecoach,3546,259,1165,448,1,1873,1873,
Henry,Cotton Indian,4785,293,1701,542,4,2540,2540,
Henry,Pleasant Grove,4135,197,1450,552,5,2204,2204,
Henry,Austin Road,3374,174,1381,472,2,2029,2029,
Henry,Swan Lake,3642,243,1091,421,1,1756,1756,
Henry,Shakerag,4047,261,1730,700,2,2693,2693,
Henry,Ellenwood,4275,201,1849,803,1,2854,2854,
Henry,Unity Grove,4850,324,1466,483,2,2275,2275,
Henry,Shiloh,4077,380,1308,560,8,2256,2256,
Henry,Pates Creek,5214,258,1632,885,6,2781,2781,
Henry,Oakland,4508,330,1497,687,1,2515,2515,
Henry,Lake Dow,5049,377,1676,687,1,2741,2741,
Henry,Flippen,4430,252,1719,862,0,2833,2833,
Henry,Stockbridge Central,4416,322,1428,579,2,2331,2331,
Henry,Kelleytown,3452,314,1268,428,0,2010,2010,
Henry,Lighthouse,3693,237,1354,531,0,2122,2122,
Henry,Dutchtown,2751,196,828,419,2,1445,1445,
Henry,Mt Bethel,3535,509,961,310,1,1781,1781,
Henry,Grove Park,4079,338,1223,422,2,1985,1985,
Henry,Lake Haven,4260,336,1467,529,1,2333,2333,
Henry,McDonough Central,4250,266,1467,657,0,2390,2390,
Henry,Timberridge,2096,214,729,255,1,1199,1199,
