index,County,Precinct,Registered Voters,Donald W. Cleveland (I) (Dem)_Election Day Votes,Donald W. Cleveland (I) (Dem)_Advanced Voting Votes,Donald W. Cleveland (I) (Dem)_Absentee by Mail Votes,Donald W. Cleveland (I) (Dem)_Provisional Votes,Donald W. Cleveland (I) (Dem)_Choice Total,Total,
0,Henry,Locust Grove,6978,506,2619,1020,3,4148,4148,
1,Henry,Tussahaw,3409,388,926,284,0,1598,1598,
2,Henry,Sandy Ridge,4875,539,1564,417,4,2524,2524,
3,Henry,Westside,6971,617,1811,1009,7,3444,3444,
4,Henry,Lowes,9878,724,3369,1606,7,5706,5706,
5,Henry,South Hampton,5476,408,1955,672,2,3037,3037,
6,Henry,North Hampton,7156,487,2552,996,2,4037,4037,
7,Henry,Mt Carmel,5335,352,2231,958,1,3542,3542,
8,Henry,Red Oak,5610,387,2356,916,1,3660,3660,
9,Henry,Wesley Lakes,6144,486,2328,926,4,3744,3744,
10,Henry,McDonough,2838,230,1007,458,4,1699,1699,
11,Henry,McMullen,3719,402,1228,406,0,2036,2036,
12,Henry,East Lake,3389,248,1212,443,0,1903,1903,
13,Henry,Hickory Flat,5122,376,1993,819,1,3189,3189,
14,Henry,Stockbridge East-West,6541,441,2331,1178,5,3955,3955,
15,Henry,Stagecoach,3546,255,1178,448,1,1882,1882,
16,Henry,Cotton Indian,4785,296,1727,548,4,2575,2575,
17,Henry,Pleasant Grove,4135,208,1487,557,5,2257,2257,
18,Henry,Austin Road,3374,176,1385,476,2,2039,2039,
19,Henry,Swan Lake,3642,246,1119,422,1,1788,1788,
20,Henry,Shakerag,4047,261,1724,694,1,2680,2680,
21,Henry,Ellenwood,4275,202,1846,799,1,2848,2848,
22,Henry,Unity Grove,4850,338,1586,489,2,2415,2415,
23,Henry,Shiloh,4077,382,1314,564,8,2268,2268,
24,Henry,Pates Creek,5214,258,1655,894,6,2813,2813,
25,Henry,Oakland,4508,330,1526,684,1,2541,2541,
26,Henry,Lake Dow,5049,397,1718,702,1,2818,2818,
27,Henry,Flippen,4430,253,1734,861,0,2848,2848,
28,Henry,Stockbridge Central,4416,314,1428,569,2,2313,2313,
29,Henry,Kelleytown,3452,325,1286,430,0,2041,2041,
30,Henry,Lighthouse,3693,238,1367,534,0,2139,2139,
31,Henry,Dutchtown,2751,197,846,425,2,1470,1470,
32,Henry,Mt Bethel,3535,536,1003,306,1,1846,1846,
33,Henry,Grove Park,4079,340,1255,429,2,2026,2026,
34,Henry,Lake Haven,4260,348,1500,535,1,2384,2384,
35,Henry,McDonough Central,4250,266,1501,663,0,2430,2430,
36,Henry,Timberridge,2096,224,751,259,1,1235,1235,
