index,County,Precinct,Registered Voters,Emanuel Jones (I) (Dem)_Election Day Votes,Emanuel Jones (I) (Dem)_Advanced Voting Votes,Emanuel Jones (I) (Dem)_Absentee by Mail Votes,Emanuel Jones (I) (Dem)_Provisional Votes,Emanuel Jones (I) (Dem)_Choice Total,Total,
0,Henry,Mt Carmel,5335,340,2172,947,1,3460,3460,
1,Henry,Red Oak,5610,374,2333,918,1,3626,3626,
2,Henry,Hickory Flat,5122,371,1908,789,1,3069,3069,
3,Henry,Stockbridge East-West,6541,437,2297,1150,4,3888,3888,
4,Henry,Stagecoach,3546,257,1128,429,2,1816,1816,
5,Henry,Cotton Indian,4785,286,1653,528,3,2470,2470,
6,Henry,Pleasant Grove,4135,187,1404,543,4,2138,2138,
7,Henry,Austin Road,3374,171,1365,467,2,2005,2005,
8,Henry,Swan Lake,3642,241,1073,410,2,1726,1726,
9,Henry,Shakerag,4047,255,1707,688,1,2651,2651,
10,Henry,Ellenwood,4275,195,1806,790,1,2792,2792,
11,Henry,Pates Creek,5214,251,1586,869,3,2709,2709,
12,Henry,Flippen,4430,239,1663,860,0,2762,2762,
13,Henry,Stockbridge Central,4416,314,1390,576,2,2282,2282,
14,Henry,Lighthouse,3693,228,1324,531,0,2083,2083,
15,Henry,Dutchtown,2751,191,804,404,2,1401,1401,
