County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
Oconee,City Hall,3910,259,1384,356,0,1999,93,720,372,0,1185,3184,
Oconee,Colham Ferry,1847,187,775,189,0,1151,29,244,159,0,432,1583,
Oconee,Antioch,1397,219,533,137,0,889,37,112,102,0,251,1140,
Oconee,Farmington,737,144,240,49,0,433,19,78,59,0,156,589,
Oconee,Bishop,1938,206,785,158,1,1150,53,236,168,1,458,1608,
Oconee,High Shoals,1939,206,868,177,0,1251,40,246,118,0,404,1655,
Oconee,North Oconee,1244,167,527,126,0,820,22,134,79,0,235,1055,
Oconee,Dark Corner,3541,435,1637,345,0,2417,50,323,192,1,566,2983,
Oconee,Bogart,2384,300,833,225,0,1358,81,260,169,0,510,1868,
Oconee,Marswood Hall,4091,277,1578,564,1,2420,66,512,459,0,1037,3457,
Oconee,East Oconee,2647,121,953,245,0,1319,65,396,313,0,774,2093,
Oconee,Civic Center,4396,289,1670,478,0,2437,80,650,453,0,1183,3620,
