County,Precinct,Registered Voters,Angela C. Elder-Johnson (I) (Rep)_Election Day Votes,Angela C. Elder-Johnson (I) (Rep)_Advanced Voting Votes,Angela C. Elder-Johnson (I) (Rep)_Absentee by Mail Votes,Angela C. Elder-Johnson (I) (Rep)_Provisional Votes,Angela C. Elder-Johnson (I) (Rep)_Choice Total,Total,
Oconee,City Hall,3910,331,1804,523,0,2658,2658,
Oconee,Colham Ferry,1847,201,920,249,1,1371,1371,
Oconee,Antioch,1397,246,604,190,0,1040,1040,
Oconee,Farmington,737,159,275,82,0,516,516,
Oconee,Bishop,1938,236,914,226,2,1378,1378,
Oconee,High Shoals,1939,233,1006,226,0,1465,1465,
Oconee,North Oconee,1244,186,607,165,0,958,958,
Oconee,Dark Corner,3541,466,1810,427,1,2704,2704,
Oconee,Bogart,2384,355,978,322,0,1655,1655,
Oconee,Marswood Hall,4091,317,1842,791,1,2951,2951,
Oconee,East Oconee,2647,162,1184,364,0,1710,1710,
Oconee,Civic Center,4396,340,2069,713,0,3122,3122,
