County,Precinct,Registered Voters,Michael D. Ransom (Rep)_Election Day Votes,Michael D. Ransom (Rep)_Advanced Voting Votes,Michael D. Ransom (Rep)_Absentee by Mail Votes,Michael D. Ransom (Rep)_Provisional Votes,Michael D. Ransom (Rep)_Choice Total,Joan E. Parker (Dem)_Election Day Votes,Joan E. Parker (Dem)_Advanced Voting Votes,Joan E. Parker (Dem)_Absentee by Mail Votes,Joan E. Parker (Dem)_Provisional Votes,Joan E. Parker (Dem)_Choice Total,Total,
Oconee,City Hall,3910,258,1355,336,0,1949,99,725,376,0,1200,3149,
Oconee,Colham Ferry,1847,185,770,177,0,1132,32,242,157,0,431,1563,
Oconee,Antioch,1397,212,530,133,0,875,42,111,101,0,254,1129,
Oconee,Farmington,737,144,237,46,0,427,19,81,62,0,162,589,
Oconee,Bishop,1938,203,775,165,1,1144,53,238,160,1,452,1596,
Oconee,High Shoals,1939,201,844,164,0,1209,45,267,122,0,434,1643,
Oconee,North Oconee,1244,167,516,117,0,800,23,138,79,0,240,1040,
Oconee,Dark Corner,3541,425,1610,335,0,2370,59,341,188,1,589,2959,
Oconee,Bogart,2384,296,822,217,0,1335,79,262,163,0,504,1839,
Oconee,Marswood Hall,4091,265,1547,533,1,2346,69,521,460,0,1050,3396,
Oconee,East Oconee,2647,115,954,232,0,1301,68,387,316,0,771,2072,
Oconee,Civic Center,4396,281,1654,445,0,2380,77,648,462,0,1187,3567,
