County,Precinct,Registered Voters,James Chafin_Election Day Votes,James Chafin_Advanced Voting Votes,James Chafin_Absentee by Mail Votes,James Chafin_Provisional Votes,James Chafin_Choice Total,Deborah Gonzalez (Dem)_Election Day Votes,Deborah Gonzalez (Dem)_Advanced Voting Votes,Deborah Gonzalez (Dem)_Absentee by Mail Votes,Deborah Gonzalez (Dem)_Provisional Votes,Deborah Gonzalez (Dem)_Choice Total,Brian Patterson (Dem)_Election Day Votes,Brian Patterson (Dem)_Advanced Voting Votes,Brian Patterson (Dem)_Absentee by Mail Votes,Brian Patterson (Dem)_Provisional Votes,Brian Patterson (Dem)_Choice Total,Total,
Oconee,City Hall,3910,222,1112,251,0,1585,69,584,284,0,937,49,326,178,0,553,3075,
Oconee,Colham Ferry,1847,158,661,136,0,955,23,214,131,0,368,21,95,61,0,177,1500,
Oconee,Antioch,1397,175,448,96,0,719,35,97,68,0,200,25,74,57,0,156,1075,
Oconee,Farmington,737,124,190,33,0,347,19,66,53,0,138,11,40,18,0,69,554,
Oconee,Bishop,1938,166,638,112,1,917,37,181,114,1,333,43,139,87,0,269,1519,
Oconee,High Shoals,1939,175,725,121,0,1021,24,205,80,0,309,34,145,70,0,249,1579,
Oconee,North Oconee,1244,132,432,86,0,650,18,108,54,0,180,26,77,50,0,153,983,
Oconee,Dark Corner,3541,357,1415,273,0,2045,52,262,150,1,465,39,138,87,0,264,2774,
Oconee,Bogart,2384,254,689,144,0,1087,71,247,127,0,445,34,81,89,0,204,1736,
Oconee,Marswood Hall,4091,222,1326,376,0,1924,59,440,343,0,842,46,210,255,0,511,3277,
Oconee,East Oconee,2647,95,738,154,0,987,52,328,222,0,602,31,245,153,0,429,2018,
Oconee,Civic Center,4396,236,1379,320,0,1935,59,532,327,0,918,47,278,231,0,556,3409,
