County,Precinct,Registered Voters,Eddie C. Hood (I) (Rep)_Election Day Votes,Eddie C. Hood (I) (Rep)_Advanced Voting Votes,Eddie C. Hood (I) (Rep)_Absentee by Mail Votes,Eddie C. Hood (I) (Rep)_Provisional Votes,Eddie C. Hood (I) (Rep)_Choice Total,Total,
White,Blue Creek,2352,424,847,325,0,1596,1596,
White,Blue Ridge,929,179,282,131,0,592,592,
White,Helen,609,129,165,66,0,360,360,
White,Mossy Creek,3164,641,1121,347,0,2109,2109,
White,Mt Yonah,4468,583,1708,572,2,2865,2865,
White,Nacoochee,1552,244,549,268,1,1062,1062,
White,Robertstown,407,117,119,47,0,283,283,
White,Shoal Creek,2538,470,821,262,0,1553,1553,
White,Tesnatee,1231,212,460,160,0,832,832,
White,Town Creek,1593,321,537,170,1,1029,1029,
White,White Creek,1779,369,642,210,0,1221,1221,
