County,Precinct,Registered Voters,Don Ferguson (Rep)_Election Day Votes,Don Ferguson (Rep)_Advanced Voting Votes,Don Ferguson (Rep)_Absentee by Mail Votes,Don Ferguson (Rep)_Provisional Votes,Don Ferguson (Rep)_Choice Total,Total,
White,Blue Creek,2352,429,846,305,0,1580,1580,
White,Blue Ridge,929,175,272,131,1,579,579,
White,Helen,609,130,158,67,0,355,355,
White,Mossy Creek,3164,648,1121,339,0,2108,2108,
White,Mt Yonah,4468,584,1707,558,2,2851,2851,
White,Nacoochee,1552,246,547,265,1,1059,1059,
White,Robertstown,407,111,120,46,0,277,277,
White,Shoal Creek,2538,465,807,253,0,1525,1525,
White,Tesnatee,1231,213,447,153,0,813,813,
White,Town Creek,1593,321,535,164,1,1021,1021,
White,White Creek,1779,368,641,202,0,1211,1211,
