County,Precinct,Registered Voters,Cindy_Election Day Votes,Cindy_Advanced Voting Votes,Cindy_Absentee by Mail Votes,Cindy_Provisional Votes,Cindy_Choice Total,Total,
White,Blue Creek,2352,433,862,328,0,1623,1623,
White,Blue Ridge,929,183,283,133,1,600,600,
White,Helen,609,132,165,67,0,364,364,
White,Mossy Creek,3164,657,1128,348,0,2133,2133,
White,Mt Yonah,4468,589,1728,575,2,2894,2894,
White,Nacoochee,1552,246,558,280,1,1085,1085,
White,Robertstown,407,117,121,50,0,288,288,
White,Shoal Creek,2538,473,828,267,0,1568,1568,
White,Tesnatee,1231,212,468,163,0,843,843,
White,Town Creek,1593,325,550,175,1,1051,1051,
White,White Creek,1779,371,651,210,0,1232,1232,
