County,Precinct,Registered Voters,William Grizzle (I)_Election Day Votes,William Grizzle (I)_Advanced Voting Votes,William Grizzle (I)_Absentee by Mail Votes,William Grizzle (I)_Provisional Votes,William Grizzle (I)_Choice Total,Total,
Cherokee,Air Acres,3050,485,917,467,0,1869,1869,
Cherokee,Arnold Mill,4884,826,1611,714,0,3151,3151,
Cherokee,Avery,3592,468,1451,553,0,2472,2472,
Cherokee,Ball Ground,4065,519,1713,383,1,2616,2616,
Cherokee,Bascomb,4115,640,1313,499,0,2452,2452,
Cherokee,Bells,5906,760,1579,751,1,3091,3091,
Cherokee,Booth,3899,453,1378,599,0,2430,2430,
Cherokee,Bradshaw,4491,524,1792,713,0,3029,3029,
Cherokee,Bridgemill,5113,666,1978,697,0,3341,3341,
Cherokee,Canton,8213,727,2472,1306,0,4505,4505,
Cherokee,Carmel,4581,653,1096,590,2,2341,2341,
Cherokee,Clayton,4906,762,1749,649,1,3161,3161,
Cherokee,Conns Creek,895,256,281,73,0,610,610,
Cherokee,Deer Run,3035,614,812,395,1,1822,1822,
Cherokee,Dixie,5733,695,1608,772,0,3075,3075,
Cherokee,Freehome,5790,739,2280,892,0,3911,3911,
Cherokee,Hickory Flat,7334,819,2870,999,1,4689,4689,
Cherokee,Hightower,3483,484,1422,429,0,2335,2335,
Cherokee,Hillside,3155,398,1186,462,0,2046,2046,
Cherokee,Holly Springs,3262,494,962,341,1,1798,1798,
Cherokee,Kellogg,5482,859,1455,633,2,2949,2949,
Cherokee,Liberty,8350,902,2833,1030,0,4765,4765,
Cherokee,Little River,7480,773,2252,1454,0,4479,4479,
Cherokee,Macedonia,4853,671,1979,684,0,3334,3334,
Cherokee,Mountain Road,3078,589,998,416,1,2004,2004,
Cherokee,Neese,7642,893,2290,1142,1,4326,4326,
Cherokee,Oak Grove,3749,613,985,489,0,2087,2087,
Cherokee,R M Moore,3468,644,1181,397,0,2222,2222,
Cherokee,R T Jones,2525,239,772,255,1,1267,1267,
Cherokee,Rosecreek,3748,552,1288,486,0,2326,2326,
Cherokee,Salacoa,727,251,126,65,0,442,442,
Cherokee,Sixes,3101,445,1084,463,0,1992,1992,
Cherokee,Sutallee,2540,703,764,278,1,1746,1746,
Cherokee,Teasley,7981,1190,2862,947,1,5000,5000,
Cherokee,Toonigh,6641,759,2407,863,0,4029,4029,
Cherokee,Union Hill,4207,836,1489,609,2,2936,2936,
Cherokee,Univeter,5434,606,2105,656,0,3367,3367,
Cherokee,Victoria,3132,581,966,345,0,1892,1892,
Cherokee,Waleska,2875,569,796,462,0,1827,1827,
Cherokee,Wildcat,3215,541,1111,314,0,1966,1966,
Cherokee,Woodlands,3456,751,835,477,0,2063,2063,
Cherokee,Woodstock,7345,810,2187,955,3,3955,3955,
