County,Precinct,Registered Voters,Kyla Cromer (I) (Rep)_Election Day Votes,Kyla Cromer (I) (Rep)_Advanced Voting Votes,Kyla Cromer (I) (Rep)_Absentee by Mail Votes,Kyla Cromer (I) (Rep)_Provisional Votes,Kyla Cromer (I) (Rep)_Choice Total,Total,
Cherokee,Air Acres,3050,505,915,458,2,1880,1880,
Cherokee,Arnold Mill,4884,864,1663,722,0,3249,3249,
Cherokee,Avery,3592,482,1509,555,0,2546,2546,
Cherokee,Ball Ground,4065,545,1802,385,1,2733,2733,
Cherokee,Bascomb,4115,654,1357,512,0,2523,2523,
Cherokee,Bells,5906,783,1596,756,1,3136,3136,
Cherokee,Booth,3899,464,1443,593,0,2500,2500,
Cherokee,Bradshaw,4491,533,1872,713,0,3118,3118,
Cherokee,Bridgemill,5113,688,2069,709,0,3466,3466,
Cherokee,Canton,8213,752,2546,1322,0,4620,4620,
Cherokee,Carmel,4581,666,1095,583,3,2347,2347,
Cherokee,Clayton,4906,786,1815,653,1,3255,3255,
Cherokee,Conns Creek,895,268,288,72,0,628,628,
Cherokee,Deer Run,3035,649,825,396,1,1871,1871,
Cherokee,Dixie,5733,713,1653,777,0,3143,3143,
Cherokee,Freehome,5790,749,2357,895,0,4001,4001,
Cherokee,Hickory Flat,7334,848,2957,999,1,4805,4805,
Cherokee,Hightower,3483,513,1491,452,0,2456,2456,
Cherokee,Hillside,3155,413,1218,477,0,2108,2108,
Cherokee,Holly Springs,3262,506,1000,348,1,1855,1855,
Cherokee,Kellogg,5482,882,1508,623,2,3015,3015,
Cherokee,Liberty,8350,926,2896,1049,0,4871,4871,
Cherokee,Little River,7480,783,2289,1458,1,4531,4531,
Cherokee,Macedonia,4853,694,2037,699,0,3430,3430,
Cherokee,Mountain Road,3078,607,1016,412,1,2036,2036,
Cherokee,Neese,7642,899,2316,1133,1,4349,4349,
Cherokee,Oak Grove,3749,640,1020,495,0,2155,2155,
Cherokee,R M Moore,3468,683,1231,420,0,2334,2334,
Cherokee,R T Jones,2525,239,795,246,1,1281,1281,
Cherokee,Rosecreek,3748,574,1337,498,0,2409,2409,
Cherokee,Salacoa,727,274,132,69,0,475,475,
Cherokee,Sixes,3101,457,1113,483,0,2053,2053,
Cherokee,Sutallee,2540,728,803,277,1,1809,1809,
Cherokee,Teasley,7981,1237,2949,959,0,5145,5145,
Cherokee,Toonigh,6641,788,2493,858,0,4139,4139,
Cherokee,Union Hill,4207,852,1533,598,2,2985,2985,
Cherokee,Univeter,5434,632,2200,666,0,3498,3498,
Cherokee,Victoria,3132,608,998,353,0,1959,1959,
Cherokee,Waleska,2875,596,828,470,0,1894,1894,
Cherokee,Wildcat,3215,562,1141,314,0,2017,2017,
Cherokee,Woodlands,3456,759,851,482,0,2092,2092,
Cherokee,Woodstock,7345,825,2211,938,1,3975,3975,
