County,Precinct,Registered Voters,Scott Chitwood (I) (Dem)_Election Day Votes,Scott Chitwood (I) (Dem)_Advanced Voting Votes,Scott Chitwood (I) (Dem)_Absentee by Mail Votes,Scott Chitwood (I) (Dem)_Provisional Votes,Scott Chitwood (I) (Dem)_Choice Total,Total,
Whitfield,1A,2533,290,541,279,2,1112,1112,
Whitfield,2A,3090,412,1061,357,2,1832,1832,
Whitfield,3A,2221,302,745,321,0,1368,1368,
Whitfield,4A,2586,361,932,345,1,1639,1639,
Whitfield,5A,2238,298,447,190,3,938,938,
Whitfield,6A,1690,247,309,122,1,679,679,
Whitfield,AN,2474,344,558,184,5,1091,1091,
Whitfield,CA,1953,469,401,128,1,999,999,
Whitfield,CO,1431,397,304,119,7,827,827,
Whitfield,DG,3295,615,919,372,4,1910,1910,
Whitfield,ES,1702,284,365,144,0,793,793,
Whitfield,FI,2146,418,550,166,1,1135,1135,
Whitfield,GL,2510,465,662,239,1,1367,1367,
Whitfield,LT,1148,233,380,81,2,696,696,
Whitfield,MC,1659,424,457,119,1,1001,1001,
Whitfield,NI,2456,561,624,212,1,1398,1398,
Whitfield,PG,4721,679,1502,534,4,2719,2719,
Whitfield,TH,3836,650,1126,369,1,2146,2146,
Whitfield,TI,775,236,122,39,1,398,398,
Whitfield,TR,1335,313,382,128,0,823,823,
Whitfield,UT,1053,312,209,86,0,607,607,
Whitfield,VA,5250,928,1670,526,2,3126,3126,
Whitfield,WS,2647,459,850,307,2,1618,1618,
