County,Precinct,Registered Voters,Sheri H. Blevins (I) (Rep)_Election Day Votes,Sheri H. Blevins (I) (Rep)_Advanced Voting Votes,Sheri H. Blevins (I) (Rep)_Absentee by Mail Votes,Sheri H. Blevins (I) (Rep)_Provisional Votes,Sheri H. Blevins (I) (Rep)_Choice Total,Total,
Whitfield,1A,2533,271,460,240,2,973,973,
Whitfield,2A,3090,413,1045,314,5,1777,1777,
Whitfield,3A,2221,288,709,265,0,1262,1262,
Whitfield,4A,2586,341,884,288,0,1513,1513,
Whitfield,5A,2238,258,318,123,3,702,702,
Whitfield,6A,1690,207,239,84,0,530,530,
Whitfield,AN,2474,332,499,165,5,1001,1001,
Whitfield,CA,1953,511,435,131,1,1078,1078,
Whitfield,CO,1431,462,335,109,7,913,913,
Whitfield,DG,3295,634,930,326,3,1893,1893,
Whitfield,ES,1702,296,355,123,0,774,774,
Whitfield,FI,2146,447,558,140,2,1147,1147,
Whitfield,GL,2510,444,619,194,1,1258,1258,
Whitfield,LT,1148,283,417,78,1,779,779,
Whitfield,MC,1659,488,499,109,1,1097,1097,
Whitfield,NI,2456,646,680,207,2,1535,1535,
Whitfield,PG,4721,723,1553,473,5,2754,2754,
Whitfield,TH,3836,743,1201,334,2,2280,2280,
Whitfield,TI,775,268,139,42,1,450,450,
Whitfield,TR,1335,347,452,129,0,928,928,
Whitfield,UT,1053,379,258,76,0,713,713,
Whitfield,VA,5250,1016,1745,482,1,3244,3244,
Whitfield,WS,2647,528,874,274,3,1679,1679,
