County,Precinct,Registered Voters,Michael Rhett (I) (Dem)_Election Day Votes,Michael Rhett (I) (Dem)_Advanced Voting Votes,Michael Rhett (I) (Dem)_Absentee by Mail Votes,Michael Rhett (I) (Dem)_Provisional Votes,Michael Rhett (I) (Dem)_Choice Total,Total,
Cobb,Austell 1A,5329,458,1368,1041,6,2873,2873,
Cobb,Birney 01,2727,283,544,545,10,1382,1382,
Cobb,Clarkdale 01,1937,175,406,357,1,939,939,
Cobb,Clarkdale 02,5372,566,1469,944,4,2983,2983,
Cobb,Cooper 01,5252,475,1351,1005,3,2834,2834,
Cobb,Eastside 02,4074,96,320,401,1,818,818,
Cobb,Elizabeth 01,4065,34,58,26,0,118,118,
Cobb,Elizabeth 02,2434,229,476,532,0,1237,1237,
Cobb,Elizabeth 04,3011,186,186,163,0,535,535,
Cobb,East Piedmont 01,2627,161,164,176,0,501,501,
Cobb,Fair Oaks 02,5779,616,1230,1057,6,2909,2909,
Cobb,Fair Oaks 04,5322,644,756,737,2,2139,2139,
Cobb,Mableton 01,5127,349,1356,1178,0,2883,2883,
Cobb,Mableton 02,3330,202,432,391,0,1025,1025,
Cobb,Macland 01,4213,340,1254,882,1,2477,2477,
Cobb,McEachern 01,3549,223,1006,790,1,2020,2020,
Cobb,Marietta 1A,4468,256,514,469,1,1240,1240,
Cobb,Marietta 2A,2059,226,369,369,0,964,964,
Cobb,Marietta 2B,4447,453,1064,807,3,2327,2327,
Cobb,Marietta 3A,4388,362,987,902,2,2253,2253,
Cobb,Marietta 3B,2218,196,532,449,1,1178,1178,
Cobb,Marietta 4A,1956,276,330,367,1,974,974,
Cobb,Marietta 4B,2056,194,439,417,1,1051,1051,
Cobb,Marietta 5A,3324,365,688,606,2,1661,1661,
Cobb,Marietta 5B,3084,214,396,323,0,933,933,
Cobb,Marietta 6A,2647,132,245,180,2,559,559,
Cobb,Marietta 6B,2910,278,687,710,0,1675,1675,
Cobb,Marietta 7A,3745,185,390,257,1,833,833,
Cobb,Oregon 02,5671,524,1434,1237,1,3196,3196,
Cobb,Oregon 03,5713,503,1076,859,5,2443,2443,
Cobb,Oregon 04,4673,429,1141,1078,3,2651,2651,
Cobb,Powers Ferry 01,3504,365,677,712,3,1757,1757,
Cobb,Powders Springs 1A,4755,272,1504,1132,3,2911,2911,
Cobb,Powders Springs 2A,3536,269,1025,668,3,1965,1965,
Cobb,Powders Springs 3A,3991,318,1251,690,1,2260,2260,
Cobb,Sewell Mill 03,4759,492,935,881,1,2309,2309,
Cobb,Smyrna 5A,4319,3,6,3,0,12,12,
Cobb,Sweetwater 01,3235,279,866,588,0,1733,1733,
Cobb,Sweetwater 02,3367,310,668,652,17,1647,1647,
