County,Precinct,Registered Voters,Suzanne Goddard (I) (Dem)_Election Day Votes,Suzanne Goddard (I) (Dem)_Advanced Voting Votes,Suzanne Goddard (I) (Dem)_Absentee by Mail Votes,Suzanne Goddard (I) (Dem)_Provisional Votes,Suzanne Goddard (I) (Dem)_Choice Total,Total,
Muscogee,Wynnton/Britt,5289,400,1341,834,0,2575,2575,
Muscogee,Carver/Mack,4374,263,1139,831,0,2233,2233,
Muscogee,St John/Belvedere,5341,296,1727,1150,2,3175,3175,
Muscogee,Britt David,2747,325,683,322,0,1330,1330,
Muscogee,St Peter,3265,360,852,451,1,1664,1664,
Muscogee,Cornerstone,6684,639,1836,872,1,3348,3348,
Muscogee,Columbus Tech,4464,384,790,424,0,1598,1598,
Muscogee,St Mark/Heiferhorn,6492,504,2046,975,8,3533,3533,
Muscogee,Wynnbrook,2692,215,807,529,0,1551,1551,
Muscogee,Cusseta Rd,6169,541,1222,853,3,2619,2619,
Muscogee,Our Lady of Lourdes,10204,713,1808,1366,3,3890,3890,
Muscogee,Mt Pilgrim,6022,450,1890,1165,1,3506,3506,
Muscogee,Faith Tabernacle,4461,372,1416,859,0,2647,2647,
Muscogee,Canaan,7078,481,1921,1180,0,3582,3582,
Muscogee,Holsey/Buena Vista,7613,502,2327,1300,0,4129,4129,
Muscogee,Gentian/Reese,5612,488,1490,795,0,2773,2773,
Muscogee,St Paul/Clubview,5677,458,1732,861,0,3051,3051,
Muscogee,Moon/Morningside,5415,533,1412,770,1,2716,2716,
Muscogee,St Andrews/Midland,7959,733,2323,1271,0,4327,4327,
Muscogee,Salvation Army,3192,316,888,449,0,1653,1653,
Muscogee,First African,1955,138,355,286,4,783,783,
Muscogee,Epworth UMC,4512,416,916,529,0,1861,1861,
Muscogee,Marianna Gallops,3095,251,590,358,5,1204,1204,
Muscogee,Edgewood Baptist,3235,268,913,493,2,1676,1676,
Muscogee,Psalmond/Mathews,7331,460,2533,1288,1,4282,4282,
