County,Precinct,Registered Voters,Lula Huff (I) (Dem)_Election Day Votes,Lula Huff (I) (Dem)_Advanced Voting Votes,Lula Huff (I) (Dem)_Absentee by Mail Votes,Lula Huff (I) (Dem)_Provisional Votes,Lula Huff (I) (Dem)_Choice Total,Total,
Muscogee,Wynnton/Britt,5289,416,1369,849,0,2634,2634,
Muscogee,Carver/Mack,4374,267,1172,851,0,2290,2290,
Muscogee,St John/Belvedere,5341,301,1769,1178,2,3250,3250,
Muscogee,Britt David,2747,345,707,340,0,1392,1392,
Muscogee,St Peter,3265,372,895,470,1,1738,1738,
Muscogee,Cornerstone,6684,652,1890,917,1,3460,3460,
Muscogee,Columbus Tech,4464,397,832,440,0,1669,1669,
Muscogee,St Mark/Heiferhorn,6492,514,2134,1023,9,3680,3680,
Muscogee,Wynnbrook,2692,230,849,562,0,1641,1641,
Muscogee,Cusseta Rd,6169,562,1242,869,3,2676,2676,
Muscogee,Our Lady of Lourdes,10204,737,1849,1404,3,3993,3993,
Muscogee,Mt Pilgrim,6022,469,1925,1187,1,3582,3582,
Muscogee,Faith Tabernacle,4461,383,1451,877,0,2711,2711,
Muscogee,Canaan,7078,487,1961,1204,0,3652,3652,
Muscogee,Holsey/Buena Vista,7613,510,2388,1334,0,4232,4232,
Muscogee,Gentian/Reese,5612,512,1538,823,0,2873,2873,
Muscogee,St Paul/Clubview,5677,470,1794,892,0,3156,3156,
Muscogee,Moon/Morningside,5415,554,1470,806,1,2831,2831,
Muscogee,St Andrews/Midland,7959,751,2399,1304,0,4454,4454,
Muscogee,Salvation Army,3192,331,907,460,0,1698,1698,
Muscogee,First African,1955,134,354,285,4,777,777,
Muscogee,Epworth UMC,4512,422,953,550,0,1925,1925,
Muscogee,Marianna Gallops,3095,261,605,368,5,1239,1239,
Muscogee,Edgewood Baptist,3235,279,947,510,3,1739,1739,
Muscogee,Psalmond/Mathews,7331,479,2598,1317,1,4395,4395,
