County,Precinct,Registered Voters,Matt Barton (I) (Rep)_Election Day Votes,Matt Barton (I) (Rep)_Advanced Voting Votes,Matt Barton (I) (Rep)_Absentee by Mail Votes,Matt Barton (I) (Rep)_Provisional Votes,Matt Barton (I) (Rep)_Choice Total,Total,
Gordon,Sugar Valley,1471,443,371,104,1,919,919,
Gordon,Plainville,2044,557,477,164,3,1201,1201,
Gordon,Sonoraville,5380,690,1048,243,1,1982,1982,
Gordon,Pine Chapel,1071,329,270,69,0,668,668,
Gordon,Oostanaula,667,228,124,71,0,423,423,
Gordon,Gordon County,6423,906,2074,559,2,3541,3541,
Gordon,Calhoun City,9532,1136,3050,897,1,5084,5084,
Gordon,Lily Pond,1914,382,604,170,0,1156,1156,
Gordon,Red Bud,2965,659,957,189,1,1806,1806,
Gordon,Resaca,1532,418,346,119,1,884,884,
